number,rewards,variances,exploration_value
0,[-4.49832 -4.49832],[9.00127 9.00127],0.3
100,[-5.93998 -5.93998],[4.94347 4.94347],0.2988
200,[-5.37479 -5.37479],[16.45486 16.45486],0.2976
300,[-8.05595 -8.05595],[33.73369 33.73369],0.2964
400,[-11.72867 -11.72867],[4.11569 4.11569],0.29519999999999996
500,[-11.83892 -11.83892],[13.16596 13.16596],0.294
600,[-16.33919 -16.33919],[41.49825 41.49825],0.2928
700,[-6.75345 -6.75345],[12.56861 12.56861],0.29159999999999997
800,[-18.97185 -18.97185],[57.05870 57.05870],0.2904
900,[-10.23037 -10.23037],[24.84626 24.84626],0.28919999999999996
1000,[-10.24677 -10.24677],[22.02519 22.02519],0.288
1100,[-8.17508 -8.17508],[24.58099 24.58099],0.2868
1200,[-12.30476 -12.30476],[19.97012 19.97012],0.28559999999999997
1300,[-8.38702 -8.38702],[20.61045 20.61045],0.2844
1400,[-7.61659 -7.61659],[0.75235 0.75235],0.28319999999999995
1500,[-14.28951 -14.28951],[27.46738 27.46738],0.282
1600,[-13.83424 -13.83424],[29.59129 29.59129],0.2808
1700,[-9.80525 -9.80525],[65.95867 65.95867],0.2796
1800,[-9.04719 -9.04719],[28.68515 28.68515],0.2784
1900,[-11.67821 -11.67821],[65.75940 65.75940],0.2772
2000,[-11.48648 -11.48648],[11.47580 11.47580],0.276
2100,[-10.20142 -10.20142],[19.63382 19.63382],0.2748
2200,[-8.34479 -8.34479],[38.22207 38.22207],0.2736
2300,[-10.09423 -10.09423],[1.60250 1.60250],0.2724
2400,[-6.45500 -6.45500],[23.59389 23.59389],0.2712
2500,[-9.65966 -9.65966],[16.19522 16.19522],0.27
2600,[-17.78739 -17.78739],[88.19892 88.19892],0.2688
2700,[-9.43502 -9.43502],[79.64687 79.64687],0.2676
2800,[-10.52116 -10.52116],[28.95260 28.95260],0.26639999999999997
2900,[-7.52428 -7.52428],[4.47856 4.47856],0.2652
3000,[-8.79190 -8.79190],[12.62266 12.62266],0.264
3100,[-11.32577 -11.32577],[22.08204 22.08204],0.2628
3200,[-3.73861 -3.73861],[17.90762 17.90762],0.2616
3300,[-14.92788 -14.92788],[109.59479 109.59479],0.26039999999999996
3400,[-13.22832 -13.22832],[32.86086 32.86086],0.2592
3500,[-7.67214 -7.67214],[3.36159 3.36159],0.258
3600,[-18.70568 -18.70568],[26.61992 26.61992],0.2568
3700,[-10.47160 -10.47160],[10.08821 10.08821],0.2556
3800,[-16.41867 -16.41867],[68.57533 68.57533],0.25439999999999996
3900,[-12.55017 -12.55017],[58.74018 58.74018],0.2532
4000,[-11.49632 -11.49632],[16.81657 16.81657],0.252
4100,[-11.86212 -11.86212],[9.54897 9.54897],0.25079999999999997
4200,[-9.36565 -9.36565],[40.25173 40.25173],0.2496
4300,[-9.22439 -9.22439],[58.87887 58.87887],0.24839999999999998
4400,[-15.51385 -15.51385],[33.71530 33.71530],0.24719999999999998
4500,[-14.10035 -14.10035],[45.79089 45.79089],0.24599999999999997
4600,[-7.89030 -7.89030],[65.18395 65.18395],0.24479999999999996
4700,[-11.16797 -11.16797],[122.70260 122.70260],0.2436
4800,[-18.84436 -18.84436],[70.35935 70.35935],0.2424
4900,[-7.44957 -7.44957],[8.84202 8.84202],0.2412
5000,[-21.39659 -21.39659],[43.30723 43.30723],0.24
5100,[-14.32524 -14.32524],[21.55834 21.55834],0.2388
5200,[-14.70006 -14.70006],[49.49169 49.49169],0.2376
5300,[-12.89677 -12.89677],[51.10765 51.10765],0.2364
5400,[-10.15737 -10.15737],[116.87432 116.87432],0.2352
5500,[-12.38763 -12.38763],[106.66427 106.66427],0.23399999999999999
5600,[-8.51946 -8.51946],[38.59586 38.59586],0.2328
5700,[-11.67832 -11.67832],[119.00549 119.00549],0.2316
5800,[-15.86559 -15.86559],[34.94814 34.94814],0.2304
5900,[-5.95418 -5.95418],[13.36967 13.36967],0.2292
6000,[-15.17853 -15.17853],[20.31611 20.31611],0.22799999999999998
