number,rewards,variances,exploration_value
0,[-4.49832 -4.49832],[9.00127 9.00127],0.3
100,[-17.67679 -17.67679],[32.87534 32.87534],0.2988
200,[-5.63212 -5.63212],[2.36108 2.36108],0.2976
300,[-14.16456 -14.16456],[35.89076 35.89076],0.2964
400,[-18.77636 -18.77636],[86.05005 86.05005],0.29519999999999996
500,[-11.81097 -11.81097],[24.71561 24.71561],0.294
600,[-9.01668 -9.01668],[80.37330 80.37330],0.2928
700,[-10.25666 -10.25666],[13.48897 13.48897],0.29159999999999997
800,[-18.01901 -18.01901],[81.32327 81.32327],0.2904
900,[-10.16810 -10.16810],[44.06870 44.06870],0.28919999999999996
1000,[-10.77184 -10.77184],[14.06419 14.06419],0.288
1100,[-6.91444 -6.91444],[12.36256 12.36256],0.2868
1200,[-15.28479 -15.28479],[54.51756 54.51756],0.28559999999999997
1300,[-11.27004 -11.27004],[112.79648 112.79648],0.2844
1400,[-16.12923 -16.12923],[137.34735 137.34735],0.28319999999999995
1500,[-16.14280 -16.14280],[22.29042 22.29042],0.282
1600,[-9.04077 -9.04077],[7.68645 7.68645],0.2808
1700,[-11.19452 -11.19452],[16.41159 16.41159],0.2796
1800,[-15.79032 -15.79032],[4.26806 4.26806],0.2784
1900,[-20.28231 -20.28231],[73.89978 73.89978],0.2772
2000,[-18.86138 -18.86138],[34.56979 34.56979],0.276
2100,[-12.66446 -12.66446],[9.68281 9.68281],0.2748
2200,[-21.22177 -21.22177],[34.66026 34.66026],0.2736
2300,[-10.57178 -10.57178],[9.97085 9.97085],0.2724
2400,[-15.56665 -15.56665],[52.73770 52.73770],0.2712
2500,[-18.60365 -18.60365],[29.64690 29.64690],0.27
2600,[-14.25017 -14.25017],[28.28363 28.28363],0.2688
2700,[-11.79224 -11.79224],[35.09863 35.09863],0.2676
2800,[-13.10500 -13.10500],[18.86944 18.86944],0.26639999999999997
2900,[-11.68524 -11.68524],[30.42883 30.42883],0.2652
3000,[-17.00533 -17.00533],[18.43564 18.43564],0.264
3100,[-14.56421 -14.56421],[33.79979 33.79979],0.2628
3200,[-9.58960 -9.58960],[5.38354 5.38354],0.2616
3300,[-8.72152 -8.72152],[56.62860 56.62860],0.26039999999999996
3400,[-17.98840 -17.98840],[26.10447 26.10447],0.2592
3500,[-12.19293 -12.19293],[51.98998 51.98998],0.258
3600,[-16.11103 -16.11103],[49.56274 49.56274],0.2568
3700,[-17.33968 -17.33968],[15.27916 15.27916],0.2556
3800,[-12.17947 -12.17947],[24.38311 24.38311],0.25439999999999996
3900,[-18.08800 -18.08800],[44.39293 44.39293],0.2532
4000,[-16.78051 -16.78051],[15.93903 15.93903],0.252
4100,[-15.22376 -15.22376],[50.57187 50.57187],0.25079999999999997
4200,[-14.28575 -14.28575],[46.92445 46.92445],0.2496
4300,[-15.21079 -15.21079],[29.23920 29.23920],0.24839999999999998
4400,[-16.44587 -16.44587],[90.96148 90.96148],0.24719999999999998
4500,[-18.44871 -18.44871],[19.22940 19.22940],0.24599999999999997
4600,[-19.59043 -19.59043],[42.42430 42.42430],0.24479999999999996
4700,[-16.56356 -16.56356],[71.39419 71.39419],0.2436
4800,[-12.56974 -12.56974],[32.82315 32.82315],0.2424
4900,[-16.06233 -16.06233],[39.99665 39.99665],0.2412
5000,[-12.74820 -12.74820],[40.09538 40.09538],0.24
5100,[-21.75722 -21.75722],[84.58224 84.58224],0.2388
5200,[-13.27014 -13.27014],[37.35885 37.35885],0.2376
5300,[-9.19895 -9.19895],[15.05089 15.05089],0.2364
5400,[-10.86199 -10.86199],[10.70815 10.70815],0.2352
5500,[-5.36166 -5.36166],[2.99277 2.99277],0.23399999999999999
5600,[-16.13526 -16.13526],[61.17146 61.17146],0.2328
5700,[-15.19466 -15.19466],[91.84325 91.84325],0.2316
5800,[-12.78063 -12.78063],[13.05794 13.05794],0.2304
5900,[-12.83862 -12.83862],[15.89397 15.89397],0.2292
6000,[-13.66676 -13.66676],[10.90702 10.90702],0.22799999999999998
6100,[-10.71750 -10.71750],[116.04829 116.04829],0.2268
6200,[-20.59272 -20.59272],[21.91920 21.91920],0.2256
6300,[-8.13558 -8.13558],[73.13897 73.13897],0.2244
6400,[-1.85712 -1.85712],[0.90635 0.90635],0.22319999999999998
6500,[-9.39060 -9.39060],[48.12813 48.12813],0.222
6600,[-17.48147 -17.48147],[61.11610 61.11610],0.2208
6700,[-8.46714 -8.46714],[3.28834 3.28834],0.2196
6800,[-10.82086 -10.82086],[74.66326 74.66326],0.21839999999999998
6900,[-9.03019 -9.03019],[48.01967 48.01967],0.21719999999999998
7000,[-8.17790 -8.17790],[5.83104 5.83104],0.216
7100,[-15.29555 -15.29555],[14.77306 14.77306],0.2148
7200,[-6.89989 -6.89989],[10.26834 10.26834],0.21359999999999998
7300,[-2.91809 -2.91809],[11.26858 11.26858],0.21239999999999998
7400,[-12.41163 -12.41163],[27.17721 27.17721],0.21119999999999997
7500,[-6.98639 -6.98639],[17.56078 17.56078],0.21
7600,[-7.35922 -7.35922],[10.93078 10.93078],0.20879999999999999
7700,[-12.69105 -12.69105],[106.64468 106.64468],0.20759999999999998
7800,[-12.30296 -12.30296],[17.03851 17.03851],0.20639999999999997
7900,[-11.87682 -11.87682],[16.35398 16.35398],0.20520000000000002
8000,[-3.78495 -3.78495],[4.17768 4.17768],0.20400000000000001
8100,[-10.99580 -10.99580],[101.59919 101.59919],0.2028
8200,[-9.59205 -9.59205],[12.71243 12.71243],0.2016
8300,[-19.53823 -19.53823],[28.49435 28.49435],0.2004
8400,[-15.92654 -15.92654],[60.86368 60.86368],0.19920000000000002
8500,[-16.72262 -16.72262],[70.73382 70.73382],0.198
8600,[-10.01842 -10.01842],[8.11027 8.11027],0.1968
8700,[-14.22940 -14.22940],[60.22797 60.22797],0.1956
8800,[-8.90927 -8.90927],[22.46002 22.46002],0.1944
8900,[-13.33045 -13.33045],[7.05920 7.05920],0.1932
9000,[-12.02779 -12.02779],[29.85601 29.85601],0.192
9100,[-12.25862 -12.25862],[11.33427 11.33427],0.1908
9200,[-19.72472 -19.72472],[58.55560 58.55560],0.1896
9300,[-9.32817 -9.32817],[61.52871 61.52871],0.18839999999999998
9400,[-17.78524 -17.78524],[16.32974 16.32974],0.1872
9500,[-14.94187 -14.94187],[20.10191 20.10191],0.186
9600,[-6.96442 -6.96442],[12.29837 12.29837],0.1848
9700,[-15.56499 -15.56499],[22.88667 22.88667],0.18359999999999999
9800,[-14.72363 -14.72363],[7.55439 7.55439],0.18239999999999998
9900,[-14.89651 -14.89651],[69.80962 69.80962],0.1812
10000,[-10.88444 -10.88444],[26.82331 26.82331],0.18
10100,[-8.57614 -8.57614],[65.93560 65.93560],0.1788
10200,[-7.22937 -7.22937],[7.42138 7.42138],0.17759999999999998
10300,[-5.82210 -5.82210],[12.50081 12.50081],0.17639999999999997
10400,[-9.25458 -9.25458],[19.85881 19.85881],0.1752
10500,[-14.76015 -14.76015],[46.32855 46.32855],0.174
10600,[-25.36125 -25.36125],[24.75369 24.75369],0.17279999999999998
10700,[-14.82633 -14.82633],[30.09977 30.09977],0.17159999999999997
10800,[-3.14512 -3.14512],[8.32847 8.32847],0.17039999999999997
10900,[-1.95748 -1.95748],[1.05274 1.05274],0.1692
11000,[-13.07910 -13.07910],[18.85001 18.85001],0.168
11100,[-3.08586 -3.08586],[7.84143 7.84143],0.1668
11200,[-4.21693 -4.21693],[5.71872 5.71872],0.1656
11300,[-1.98653 -1.98653],[3.08065 3.08065],0.16440000000000002
11400,[-3.49696 -3.49696],[2.72792 2.72792],0.1632
11500,[-1.40818 -1.40818],[0.42078 0.42078],0.162
11600,[-2.61179 -2.61179],[5.18509 5.18509],0.1608
11700,[-3.80682 -3.80682],[1.37712 1.37712],0.1596
11800,[-3.15552 -3.15552],[3.49421 3.49421],0.1584
11900,[-5.24101 -5.24101],[2.99745 2.99745],0.1572
12000,[-5.69549 -5.69549],[8.18410 8.18410],0.156
12100,[-12.89208 -12.89208],[21.93245 21.93245],0.1548
12200,[-13.46289 -13.46289],[50.32678 50.32678],0.1536
12300,[-8.07219 -8.07219],[3.47776 3.47776],0.1524
12400,[-5.06951 -5.06951],[54.14846 54.14846],0.1512
12500,[-5.83643 -5.83643],[4.74682 4.74682],0.15
12600,[-6.57294 -6.57294],[3.98738 3.98738],0.1488
12700,[-7.66965 -7.66965],[14.66844 14.66844],0.14759999999999998
12800,[-6.56464 -6.56464],[23.45790 23.45790],0.1464
12900,[-6.56614 -6.56614],[13.88271 13.88271],0.1452
13000,[-9.78660 -9.78660],[52.94584 52.94584],0.144
13100,[-7.43719 -7.43719],[18.04556 18.04556],0.14279999999999998
13200,[-4.69514 -4.69514],[0.51413 0.51413],0.14159999999999998
13300,[-7.59016 -7.59016],[2.43535 2.43535],0.1404
13400,[-10.10255 -10.10255],[11.29617 11.29617],0.1392
13500,[-9.10102 -9.10102],[3.98811 3.98811],0.138
13600,[-16.55047 -16.55047],[110.29276 110.29276],0.1368
13700,[-18.61110 -18.61110],[35.75503 35.75503],0.1356
13800,[-8.74865 -8.74865],[15.55335 15.55335],0.1344
13900,[-10.03636 -10.03636],[83.48502 83.48502],0.13319999999999999
14000,[-8.94196 -8.94196],[19.63923 19.63923],0.132
14100,[-8.39748 -8.39748],[7.19280 7.19280],0.1308
14200,[-5.92322 -5.92322],[2.29527 2.29527],0.1296
14300,[-10.70801 -10.70801],[28.01521 28.01521],0.1284
14400,[-13.94264 -13.94264],[6.68280 6.68280],0.12719999999999998
14500,[-12.49882 -12.49882],[112.23408 112.23408],0.126
14600,[-13.03647 -13.03647],[17.91835 17.91835],0.1248
14700,[-3.81311 -3.81311],[7.45189 7.45189],0.12359999999999999
14800,[-8.70853 -8.70853],[7.63599 7.63599],0.12239999999999998
14900,[-10.33371 -10.33371],[40.43526 40.43526],0.1212
15000,[-12.11711 -12.11711],[32.86101 32.86101],0.12
15100,[-9.13798 -9.13798],[10.08448 10.08448],0.1188
15200,[-5.46406 -5.46406],[8.55110 8.55110],0.1176
15300,[-12.52313 -12.52313],[27.15144 27.15144],0.1164
15400,[-16.33765 -16.33765],[15.78003 15.78003],0.1152
15500,[-8.33623 -8.33623],[15.95954 15.95954],0.11399999999999999
15600,[-8.06413 -8.06413],[0.64369 0.64369],0.1128
15700,[-8.81309 -8.81309],[10.66900 10.66900],0.11159999999999999
15800,[-12.88196 -12.88196],[11.20773 11.20773],0.1104
15900,[-18.05435 -18.05435],[22.67188 22.67188],0.10919999999999999
16000,[-8.39509 -8.39509],[5.46449 5.46449],0.108
16100,[-7.19905 -7.19905],[5.44628 5.44628],0.10679999999999999
16200,[-7.93913 -7.93913],[5.17119 5.17119],0.10559999999999999
16300,[-10.19170 -10.19170],[5.43209 5.43209],0.10439999999999999
16400,[-16.24907 -16.24907],[40.78378 40.78378],0.10319999999999999
16500,[-12.49210 -12.49210],[19.78069 19.78069],0.10200000000000001
16600,[-16.60606 -16.60606],[45.51245 45.51245],0.1008
16700,[-12.34841 -12.34841],[3.14236 3.14236],0.09960000000000001
16800,[-10.33716 -10.33716],[13.39052 13.39052],0.0984
16900,[-10.40782 -10.40782],[8.02059 8.02059],0.0972
17000,[-12.89060 -12.89060],[21.73110 21.73110],0.096
17100,[-17.08589 -17.08589],[49.97145 49.97145],0.0948
17200,[-8.93194 -8.93194],[39.20997 39.20997],0.0936
17300,[-9.95226 -9.95226],[18.72544 18.72544],0.0924
17400,[-4.70133 -4.70133],[1.01296 1.01296],0.09119999999999999
17500,[-13.93776 -13.93776],[134.62754 134.62754],0.09
17600,[-8.66881 -8.66881],[10.02828 10.02828],0.08879999999999999
17700,[-8.25861 -8.25861],[13.22393 13.22393],0.0876
17800,[-7.43134 -7.43134],[11.88940 11.88940],0.08639999999999999
17900,[-8.05727 -8.05727],[3.52040 3.52040],0.08519999999999998
18000,[-9.47934 -9.47934],[9.40618 9.40618],0.084
18100,[-5.79043 -5.79043],[5.33213 5.33213],0.0828
18200,[-5.92792 -5.92792],[8.21818 8.21818],0.0816
18300,[-7.70951 -7.70951],[17.85502 17.85502],0.0804
18400,[-7.16653 -7.16653],[8.45192 8.45192],0.0792
18500,[-8.72389 -8.72389],[8.81830 8.81830],0.078
18600,[-8.16159 -8.16159],[7.97197 7.97197],0.0768
18700,[-6.65840 -6.65840],[6.27972 6.27972],0.0756
18800,[-5.62977 -5.62977],[4.47901 4.47901],0.0744
18900,[-5.94472 -5.94472],[2.63486 2.63486],0.0732
19000,[-11.17399 -11.17399],[55.28102 55.28102],0.072
19100,[-6.90013 -6.90013],[11.84418 11.84418],0.07079999999999999
19200,[-9.48578 -9.48578],[19.77765 19.77765],0.0696
19300,[-4.85842 -4.85842],[7.20742 7.20742],0.0684
19400,[-5.08601 -5.08601],[16.26237 16.26237],0.0672
19500,[-7.50833 -7.50833],[5.47365 5.47365],0.066
19600,[-6.70065 -6.70065],[17.10024 17.10024],0.0648
19700,[-5.94994 -5.94994],[13.96433 13.96433],0.06359999999999999
19800,[-10.10577 -10.10577],[15.44153 15.44153],0.0624
19900,[-9.77693 -9.77693],[15.22490 15.22490],0.06119999999999999
20000,[-2.73099 -2.73099],[0.49559 0.49559],0.06
20100,[-5.87259 -5.87259],[2.90588 2.90588],0.0588
20200,[-5.53012 -5.53012],[3.52168 3.52168],0.0576
20300,[-10.55836 -10.55836],[22.22506 22.22506],0.0564
20400,[-9.05002 -9.05002],[58.66170 58.66170],0.0552
20500,[-7.71051 -7.71051],[28.06256 28.06256],0.054
20600,[-7.78383 -7.78383],[6.92326 6.92326],0.05279999999999999
20700,[-10.59227 -10.59227],[20.59518 20.59518],0.05159999999999999
20800,[-4.41935 -4.41935],[2.01277 2.01277],0.0504
20900,[-10.94728 -10.94728],[13.68732 13.68732],0.0492
21000,[-6.63299 -6.63299],[2.91009 2.91009],0.048
21100,[-9.90820 -9.90820],[39.51694 39.51694],0.0468
21200,[-6.75496 -6.75496],[10.11846 10.11846],0.045599999999999995
21300,[-6.45999 -6.45999],[2.17869 2.17869],0.044399999999999995
21400,[-6.45951 -6.45951],[11.18389 11.18389],0.043199999999999995
21500,[-5.99592 -5.99592],[2.62127 2.62127],0.042
21600,[-8.22215 -8.22215],[12.14145 12.14145],0.0408
21700,[-10.54144 -10.54144],[61.23234 61.23234],0.0396
21800,[-11.45161 -11.45161],[5.35869 5.35869],0.0384
21900,[-8.60545 -8.60545],[13.76190 13.76190],0.0372
22000,[-5.30900 -5.30900],[7.06513 7.06513],0.036
22100,[-10.49249 -10.49249],[44.50006 44.50006],0.0348
22200,[-6.44055 -6.44055],[6.10915 6.10915],0.0336
22300,[-8.26227 -8.26227],[17.82101 17.82101],0.0324
22400,[-6.23415 -6.23415],[11.33135 11.33135],0.0312
22500,[-5.86453 -5.86453],[3.07907 3.07907],0.03
22600,[-5.81720 -5.81720],[2.11334 2.11334],0.0288
22700,[-6.06193 -6.06193],[4.45590 4.45590],0.0276
22800,[-6.23378 -6.23378],[7.66758 7.66758],0.026399999999999996
22900,[-6.54363 -6.54363],[1.23232 1.23232],0.0252
23000,[-8.57875 -8.57875],[10.79970 10.79970],0.024
23100,[-6.14222 -6.14222],[9.12689 9.12689],0.022799999999999997
23200,[-7.91996 -7.91996],[12.80017 12.80017],0.021599999999999998
23300,[-8.31131 -8.31131],[11.78563 11.78563],0.0204
23400,[-7.57398 -7.57398],[3.93553 3.93553],0.0192
23500,[-7.15229 -7.15229],[2.05592 2.05592],0.018
23600,[-10.23316 -10.23316],[26.25456 26.25456],0.0168
23700,[-15.82907 -15.82907],[80.28160 80.28160],0.0156
23800,[-8.78311 -8.78311],[9.02732 9.02732],0.0144
23900,[-12.65764 -12.65764],[40.53788 40.53788],0.013199999999999998
24000,[-9.31681 -9.31681],[21.51837 21.51837],0.012
24100,[-7.88568 -7.88568],[11.66090 11.66090],0.010799999999999999
24200,[-10.57435 -10.57435],[21.54165 21.54165],0.0096
24300,[-12.18626 -12.18626],[23.20709 23.20709],0.0084
24400,[-6.91142 -6.91142],[6.85833 6.85833],0.0072
24500,[-7.43623 -7.43623],[2.73604 2.73604],0.006
24600,[-11.89391 -11.89391],[13.06749 13.06749],0.0048
24700,[-6.63741 -6.63741],[2.10070 2.10070],0.0036
24800,[-14.16240 -14.16240],[29.27732 29.27732],0.0024
24900,[-12.27864 -12.27864],[12.41140 12.41140],0.0012
