number,rewards,variances,exploration_value
0,[-1.86548 -1.86548],[1.83459 1.83459],0.3
100,[-10.12044 -10.12044],[33.58373 33.58373],0.2988
200,[-10.00846 -10.00846],[40.44758 40.44758],0.2976
300,[-6.31325 -6.31325],[3.85091 3.85091],0.2964
400,[-3.32257 -3.32257],[2.07602 2.07602],0.29519999999999996
500,[-2.17410 -2.17410],[5.99164 5.99164],0.294
600,[-5.43856 -5.43856],[11.87174 11.87174],0.2928
700,[-2.91014 -2.91014],[4.87712 4.87712],0.29159999999999997
800,[-6.85615 -6.85615],[46.94133 46.94133],0.2904
900,[-12.89237 -12.89237],[45.88017 45.88017],0.28919999999999996
1000,[-6.08695 -6.08695],[11.47988 11.47988],0.288
1100,[-9.66261 -9.66261],[16.27635 16.27635],0.2868
1200,[-10.47632 -10.47632],[22.67458 22.67458],0.28559999999999997
1300,[-10.96988 -10.96988],[31.45580 31.45580],0.2844
1400,[-6.29254 -6.29254],[20.30081 20.30081],0.28319999999999995
1500,[-5.83085 -5.83085],[7.02504 7.02504],0.282
1600,[-9.63471 -9.63471],[27.72288 27.72288],0.2808
1700,[-5.79082 -5.79082],[2.97031 2.97031],0.2796
1800,[-13.73666 -13.73666],[27.90828 27.90828],0.2784
1900,[-8.10821 -8.10821],[22.11479 22.11479],0.2772
2000,[-12.69447 -12.69447],[72.26394 72.26394],0.276
2100,[-9.57404 -9.57404],[29.52589 29.52589],0.2748
2200,[-2.99524 -2.99524],[1.26141 1.26141],0.2736
2300,[-7.31658 -7.31658],[16.43761 16.43761],0.2724
2400,[-3.83409 -3.83409],[6.12508 6.12508],0.2712
2500,[-6.49779 -6.49779],[16.28317 16.28317],0.27
2600,[-5.26405 -5.26405],[7.83922 7.83922],0.2688
2700,[-7.32448 -7.32448],[33.37063 33.37063],0.2676
2800,[-4.74206 -4.74206],[11.05832 11.05832],0.26639999999999997
2900,[-4.13210 -4.13210],[2.18065 2.18065],0.2652
3000,[-2.58079 -2.58079],[1.32587 1.32587],0.264
3100,[-6.45789 -6.45789],[13.61111 13.61111],0.2628
3200,[-10.42334 -10.42334],[24.77925 24.77925],0.2616
3300,[-4.84756 -4.84756],[23.57078 23.57078],0.26039999999999996
3400,[-7.84723 -7.84723],[33.79272 33.79272],0.2592
3500,[-13.23996 -13.23996],[31.89422 31.89422],0.258
3600,[-8.42072 -8.42072],[57.14750 57.14750],0.2568
3700,[-4.57071 -4.57071],[5.34059 5.34059],0.2556
3800,[-7.41070 -7.41070],[28.13086 28.13086],0.25439999999999996
3900,[-6.40190 -6.40190],[4.97007 4.97007],0.2532
4000,[-5.50909 -5.50909],[11.31012 11.31012],0.252
4100,[-3.51769 -3.51769],[6.78454 6.78454],0.25079999999999997
4200,[-3.32686 -3.32686],[1.21758 1.21758],0.2496
4300,[-4.05246 -4.05246],[3.47103 3.47103],0.24839999999999998
4400,[-2.81393 -2.81393],[0.37132 0.37132],0.24719999999999998
4500,[-2.37023 -2.37023],[1.14101 1.14101],0.24599999999999997
4600,[-1.63926 -1.63926],[1.32067 1.32067],0.24479999999999996
4700,[-2.86075 -2.86075],[2.70857 2.70857],0.2436
4800,[-1.12499 -1.12499],[0.82948 0.82948],0.2424
4900,[-2.89237 -2.89237],[0.60854 0.60854],0.2412
5000,[-1.67495 -1.67495],[0.62519 0.62519],0.24
5100,[-1.16640 -1.16640],[0.58129 0.58129],0.2388
5200,[-0.85896 -0.85896],[0.05870 0.05870],0.2376
5300,[-1.26087 -1.26087],[0.21334 0.21334],0.2364
5400,[-0.84812 -0.84812],[0.29953 0.29953],0.2352
5500,[-0.82825 -0.82825],[0.29089 0.29089],0.23399999999999999
5600,[-0.70275 -0.70275],[0.33349 0.33349],0.2328
5700,[-1.22493 -1.22493],[0.33881 0.33881],0.2316
5800,[-1.01388 -1.01388],[0.11818 0.11818],0.2304
5900,[-1.00238 -1.00238],[0.35472 0.35472],0.2292
6000,[-2.50901 -2.50901],[2.86063 2.86063],0.22799999999999998
6100,[-1.44482 -1.44482],[0.38657 0.38657],0.2268
6200,[-1.55150 -1.55150],[1.18984 1.18984],0.2256
6300,[-2.17420 -2.17420],[0.88249 0.88249],0.2244
