iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,1_count_value,2_maddpg_actor_loss,2_maddpg_critic_loss,2_count_value
0,100,-0.11082,1.19385,0.02293,-2.71751,5.83841,0.47765
1,200,-0.06721,1.06316,0.01057,-2.42885,1.90984,0.35283
2,300,-0.04031,0.91524,0.00752,-2.52927,1.82770,0.30700
3,400,-0.06221,0.79937,0.00616,-2.88135,1.88377,0.30040
4,500,-0.07669,0.81801,0.00535,-3.08120,1.74281,0.29572
5,600,-0.06078,0.80239,0.00480,-3.39952,1.91709,0.29821
6,700,-0.08442,0.73484,0.00439,-3.70304,1.90221,0.29976
7,800,-0.08156,0.84972,0.00406,-3.90804,1.84541,0.29405
8,900,-0.07953,0.88710,0.00380,-4.17406,1.86938,0.29143
9,1000,-0.08511,0.75762,0.00359,-4.39128,1.79678,0.28490
10,1100,-0.11528,0.76365,0.00341,-4.60344,1.79523,0.28122
11,1200,-0.08007,0.80628,0.00325,-4.89844,1.84448,0.28262
12,1300,-0.09628,0.85699,0.00311,-5.06855,1.99615,0.27769
13,1400,-0.05685,0.90827,0.00299,-5.20865,1.77033,0.27634
14,1500,-0.06743,0.89485,0.00288,-5.37748,1.97443,0.27187
15,1600,-0.08466,0.88153,0.00279,-5.58102,2.09940,0.26870
16,1700,-0.03191,0.87578,0.00270,-5.84720,1.82791,0.26464
17,1800,-0.03580,0.79288,0.00262,-5.97443,1.89229,0.26418
18,1900,-0.05930,0.82790,0.00254,-6.19549,1.85036,0.26703
19,2000,-0.04132,0.87861,0.00248,-6.35659,1.80232,0.26001
20,2100,-0.01389,0.91223,0.00241,-6.49696,1.79840,0.26009
21,2200,-0.04273,0.79698,0.00236,-6.62586,1.93111,0.25662
22,2300,-0.02303,0.82055,0.00230,-6.81974,1.63698,0.25246
23,2400,0.01769,0.94418,0.00225,-6.92190,1.81201,0.25091
24,2500,-0.02223,0.85163,0.00220,-7.12012,1.76417,0.24715
25,2600,0.00771,0.88316,0.00216,-7.25331,1.79997,0.24685
26,2700,0.02723,0.88314,0.00212,-7.36263,1.81709,0.24598
