number,rewards,variances,exploration_value
0,[-1.86548 -1.86548],[1.83459 1.83459],0.3
100,[-3.51643 -3.51643],[3.29760 3.29760],0.2988
200,[-8.02975 -8.02975],[77.19356 77.19356],0.2976
300,[-9.32683 -9.32683],[112.04859 112.04859],0.2964
400,[-3.86496 -3.86496],[3.67035 3.67035],0.29519999999999996
500,[-3.24139 -3.24139],[4.40412 4.40412],0.294
600,[-13.12573 -13.12573],[41.43429 41.43429],0.2928
700,[-6.23397 -6.23397],[41.33887 41.33887],0.29159999999999997
800,[-2.16690 -2.16690],[1.89153 1.89153],0.2904
900,[-1.83473 -1.83473],[1.84869 1.84869],0.28919999999999996
1000,[-7.59080 -7.59080],[2.85983 2.85983],0.288
1100,[-9.34112 -9.34112],[16.72065 16.72065],0.2868
1200,[-12.58722 -12.58722],[116.05091 116.05091],0.28559999999999997
1300,[-5.59619 -5.59619],[12.15716 12.15716],0.2844
1400,[-16.74037 -16.74037],[58.26743 58.26743],0.28319999999999995
1500,[-8.89101 -8.89101],[21.72568 21.72568],0.282
1600,[-8.68734 -8.68734],[13.64696 13.64696],0.2808
1700,[-8.65788 -8.65788],[25.69989 25.69989],0.2796
1800,[-4.64123 -4.64123],[5.31069 5.31069],0.2784
1900,[-5.20213 -5.20213],[40.40098 40.40098],0.2772
2000,[-10.21389 -10.21389],[37.52384 37.52384],0.276
2100,[-9.85837 -9.85837],[71.24063 71.24063],0.2748
2200,[-7.01509 -7.01509],[8.21937 8.21937],0.2736
2300,[-5.54338 -5.54338],[8.20956 8.20956],0.2724
2400,[-4.01926 -4.01926],[15.58025 15.58025],0.2712
2500,[-7.87369 -7.87369],[9.17894 9.17894],0.27
2600,[-10.78101 -10.78101],[50.92822 50.92822],0.2688
2700,[-2.86990 -2.86990],[5.12408 5.12408],0.2676
2800,[-10.76709 -10.76709],[22.85535 22.85535],0.26639999999999997
2900,[-6.02264 -6.02264],[57.82073 57.82073],0.2652
