iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,1_icm_forward_loss,1_icm_inverse_loss,2_maddpg_actor_loss,2_maddpg_critic_loss,2_icm_forward_loss,2_icm_inverse_loss
0,100,-2.32569,1.65603,0.46139,1.10492,-3.38492,3.83105,0.64745,1.61679
1,200,-2.88267,1.04780,0.46230,1.10818,-4.05935,1.35910,0.63929,1.60581
2,300,-3.26362,0.99413,0.45729,1.10993,-4.50449,1.03855,0.64598,1.59440
3,400,-3.57000,0.94811,0.45200,1.11125,-5.04440,0.98191,0.66183,1.58666
4,500,-3.80805,0.92700,0.44704,1.11256,-5.56261,0.97520,0.66780,1.58444
5,600,-4.22771,1.01731,0.44275,1.11221,-6.07344,1.13795,0.65726,1.59023
6,700,-4.55405,0.99774,0.43922,1.11130,-6.53639,1.16931,0.65291,1.59063
7,800,-4.86860,1.05575,0.43488,1.11144,-6.90664,1.22046,0.63505,1.59276
8,900,-5.17639,1.04133,0.43093,1.11135,-7.35982,1.18899,0.61942,1.59465
9,1000,-5.51142,1.07873,0.42654,1.11102,-7.71239,1.04136,0.60949,1.59840
10,1100,-5.83726,1.09155,0.42243,1.11064,-8.17091,1.13795,0.60753,1.60063
11,1200,-6.08286,1.15992,0.41831,1.11037,-8.52972,1.24573,0.60141,1.60283
12,1300,-6.26631,1.23051,0.41414,1.11005,-8.99184,1.38520,0.60257,1.60629
13,1400,-6.60747,1.11068,0.40938,1.11001,-9.29231,1.34895,0.59569,1.61013
14,1500,-6.84757,1.18272,0.40550,1.10945,-9.69774,1.51185,0.59141,1.61134
15,1600,-7.12055,1.11137,0.40182,1.10902,-9.95741,1.56697,0.58678,1.61216
16,1700,-7.31039,1.14324,0.39783,1.10875,-10.40682,1.17564,0.58262,1.61277
17,1800,-7.57082,1.00411,0.39440,1.10812,-10.82111,1.24348,0.57881,1.61292
18,1900,-7.80142,1.00753,0.39088,1.10750,-11.09279,1.10443,0.57272,1.61387
19,2000,-8.04584,0.99519,0.38687,1.10734,-11.45767,1.08333,0.56623,1.61300
20,2100,-8.17915,1.04633,0.38306,1.10667,-11.74635,1.08158,0.56153,1.61340
21,2200,-8.49899,0.90763,0.37966,1.10646,-12.01961,1.26297,0.55873,1.61106
22,2300,-8.63663,1.00607,0.37575,1.10629,-12.27123,1.06279,0.55181,1.61121
23,2400,-8.74497,1.00032,0.37239,1.10549,-12.56527,1.16668,0.54700,1.61146
24,2500,-8.96830,0.93578,0.36859,1.10542,-12.89289,1.08944,0.54130,1.61159
25,2600,-9.16127,1.09696,0.36519,1.10481,-13.11328,1.08890,0.53795,1.60982
26,2700,-9.34949,1.09795,0.36143,1.10460,-13.21314,1.21364,0.53155,1.61062
27,2800,-9.51613,1.04838,0.35807,1.10403,-13.54527,1.08998,0.52465,1.61133
28,2900,-9.61247,1.06028,0.35483,1.10346,-13.62332,1.07584,0.52024,1.61086
29,3000,-9.77927,1.10014,0.35145,1.10319,-14.06875,1.05603,0.51338,1.61169
30,3100,-9.87732,1.05056,0.34777,1.10278,-13.99997,1.01503,0.50630,1.61082
31,3200,-9.99207,1.08790,0.34455,1.10239,-14.13411,1.19999,0.50293,1.61006
32,3300,-10.13017,0.99440,0.34136,1.10183,-14.27096,1.05126,0.49676,1.61084
33,3400,-10.16451,1.05938,0.33824,1.10149,-14.41783,1.08191,0.48974,1.60972
34,3500,-10.28531,1.14361,0.33468,1.10106,-14.50855,1.13441,0.48601,1.61004
35,3600,-10.38995,0.90797,0.33130,1.10078,-14.63406,1.13319,0.48022,1.60991
36,3700,-10.46309,0.99261,0.32805,1.10048,-14.95987,1.18557,0.47504,1.60931
37,3800,-10.48447,1.09406,0.32503,1.09989,-15.00969,1.16153,0.47082,1.60911
38,3900,-10.58582,1.08999,0.32181,1.09950,-14.96800,1.12365,0.46766,1.60902
39,4000,-10.63365,0.97341,0.31840,1.09920,-14.96939,0.92857,0.46051,1.60913
40,4100,-10.67775,1.02759,0.31521,1.09898,-15.05038,1.05946,0.45571,1.60845
41,4200,-10.72539,0.96628,0.31200,1.09860,-15.07096,1.05878,0.45079,1.60802
42,4300,-10.77116,0.97158,0.30885,1.09820,-15.21937,0.96890,0.44618,1.60832
43,4400,-10.76055,0.97612,0.30603,1.09769,-15.22533,1.24676,0.44132,1.60887
44,4500,-10.79970,0.94332,0.30321,1.09730,-15.14495,1.17598,0.43773,1.60747
45,4600,-10.85659,0.96000,0.29978,1.09711,-15.33482,1.02041,0.43215,1.60713
46,4700,-10.88182,0.97285,0.29692,1.09672,-15.36676,1.06593,0.42872,1.60748
47,4800,-10.87823,1.01685,0.29369,1.09661,-15.40397,1.07525,0.42419,1.60673
48,4900,-10.93902,1.06883,0.29106,1.09604,-15.42112,0.98852,0.41856,1.60629
49,5000,-10.99018,0.99137,0.28790,1.09580,-15.48838,0.99214,0.41323,1.60806
50,5100,-10.93187,1.09713,0.28513,1.09557,-15.60594,1.14986,0.40705,1.60720
51,5200,-10.93019,1.07284,0.28240,1.09509,-15.61769,1.20267,0.40559,1.60708
52,5300,-10.93600,1.04322,0.27945,1.09485,-15.94644,1.09722,0.39966,1.60730
53,5400,-11.05028,1.16241,0.27678,1.09457,-16.03186,1.37517,0.39652,1.60696
54,5500,-11.19496,1.08867,0.27418,1.09434,-16.15093,1.37720,0.39283,1.60628
55,5600,-11.20053,1.04909,0.27147,1.09406,-16.31754,1.42806,0.38800,1.60572
56,5700,-11.17336,1.31297,0.26885,1.09390,-16.10648,1.96764,0.38281,1.60585
57,5800,-11.16140,1.02223,0.26608,1.09376,-15.94967,1.67023,0.37837,1.60585
58,5900,-11.13208,1.02939,0.26351,1.09345,-16.24917,1.59785,0.37616,1.60577
59,6000,-11.19284,0.92583,0.26072,1.09357,-16.35116,1.60038,0.37053,1.60614
60,6100,-11.14122,0.89576,0.25821,1.09333,-16.22032,1.39632,0.36663,1.60563
61,6200,-11.15315,1.01085,0.25573,1.09312,-16.18456,1.30879,0.36359,1.60594
62,6300,-11.21963,0.94442,0.25279,1.09325,-16.25100,1.35158,0.36082,1.60515
63,6400,-11.18116,1.00343,0.25042,1.09277,-16.18658,1.48524,0.35588,1.60498
64,6500,-11.18091,0.99355,0.24759,1.09271,-16.37301,1.36200,0.35029,1.60497
65,6600,-11.30385,1.05087,0.24501,1.09270,-16.43457,1.21080,0.34848,1.60448
66,6700,-11.27425,0.87384,0.24228,1.09266,-16.42931,1.24700,0.34326,1.60354
67,6800,-11.23619,1.16884,0.23977,1.09229,-16.33882,1.15639,0.33978,1.60424
68,6900,-11.31512,1.01633,0.23703,1.09208,-16.21632,1.06559,0.33490,1.60392
69,7000,-11.36896,1.00950,0.23471,1.09176,-16.17243,1.02613,0.33263,1.60335
70,7100,-11.37061,0.94569,0.23195,1.09164,-16.11981,1.28633,0.32863,1.60311
71,7200,-11.27198,0.94211,0.22938,1.09171,-15.83449,1.10270,0.32435,1.60304
72,7300,-11.18712,0.95284,0.22689,1.09147,-15.92667,1.17394,0.32105,1.60226
73,7400,-11.15302,0.94786,0.22455,1.09139,-15.91956,1.21520,0.31659,1.60291
74,7500,-11.12137,0.98690,0.22155,1.09153,-15.76744,1.24356,0.31305,1.60224
75,7600,-11.15997,0.97885,0.21958,1.09137,-15.69330,1.18707,0.31075,1.60137
76,7700,-11.16037,0.98207,0.21691,1.09120,-15.68760,1.10544,0.30538,1.60223
77,7800,-11.00002,0.99535,0.21440,1.09098,-15.57166,1.12966,0.30229,1.60174
78,7900,-11.13756,0.96224,0.21219,1.09106,-15.70635,1.17972,0.29803,1.60099
79,8000,-11.05328,1.16362,0.20979,1.09102,-15.66722,1.11937,0.29613,1.60079
80,8100,-11.13837,1.03538,0.20743,1.09097,-15.81713,1.20469,0.29206,1.60082
81,8200,-11.00799,1.07283,0.20495,1.09094,-15.73620,1.20549,0.28954,1.60090
82,8300,-10.94449,1.01502,0.20271,1.09078,-15.66582,1.04936,0.28554,1.60002
83,8400,-11.04278,0.89652,0.20040,1.09049,-15.66472,0.92519,0.28107,1.60041
84,8500,-10.91180,0.94998,0.19821,1.09032,-15.48088,1.07501,0.27851,1.59945
85,8600,-10.79234,0.89802,0.19582,1.09033,-15.37201,1.08323,0.27514,1.59948
86,8700,-10.77748,0.96991,0.19380,1.09022,-15.44219,0.99872,0.27190,1.59913
87,8800,-10.86177,0.96326,0.19169,1.09012,-15.41583,0.94674,0.26813,1.59949
88,8900,-10.79623,0.96939,0.18925,1.09003,-15.40508,1.01621,0.26541,1.59946
89,9000,-10.74489,0.98185,0.18731,1.08971,-15.37174,1.01381,0.26229,1.59869
90,9100,-10.73969,0.96493,0.18508,1.08966,-15.24226,1.16443,0.25847,1.59861
91,9200,-10.70404,0.85159,0.18298,1.08976,-15.23173,1.00992,0.25615,1.59791
92,9300,-10.56511,0.93262,0.18081,1.08911,-15.09511,0.89587,0.25271,1.59766
93,9400,-10.54618,1.04489,0.17851,1.08902,-15.00894,1.16256,0.25074,1.59756
94,9500,-10.39915,1.02267,0.17659,1.08921,-14.97104,0.92894,0.24676,1.59815
95,9600,-10.36482,0.87285,0.17447,1.08876,-14.88067,0.86491,0.24323,1.59794
96,9700,-10.29511,0.89013,0.17240,1.08834,-14.77670,0.86629,0.24077,1.59801
97,9800,-10.17007,0.88370,0.17016,1.08793,-14.71428,0.94104,0.23714,1.59730
98,9900,-10.11857,0.92377,0.16822,1.08795,-14.62235,0.95501,0.23492,1.59783
99,10000,-10.06664,0.89794,0.16598,1.08768,-14.63021,1.12113,0.23275,1.59734
100,10100,-9.98531,0.96587,0.16406,1.08766,-14.58552,1.02744,0.22893,1.59805
101,10200,-9.93902,0.88240,0.16225,1.08722,-14.42799,0.95409,0.22577,1.59695
102,10300,-9.89472,0.92600,0.16032,1.08704,-14.31287,0.92511,0.22401,1.59718
103,10400,-9.78352,0.98020,0.15839,1.08691,-14.26603,1.09144,0.22102,1.59676
104,10500,-9.74326,0.89253,0.15655,1.08691,-14.19418,1.04756,0.21770,1.59625
105,10600,-9.68271,1.07402,0.15476,1.08622,-14.07636,0.96724,0.21474,1.59721
106,10700,-9.61285,0.99270,0.15278,1.08606,-13.99155,0.95195,0.21265,1.59623
107,10800,-9.54326,1.06940,0.15073,1.08569,-13.87522,1.00529,0.20995,1.59621
108,10900,-9.45624,1.07529,0.14895,1.08595,-13.79445,0.95241,0.20783,1.59607
109,11000,-9.41598,1.03511,0.14728,1.08522,-13.62563,0.98688,0.20478,1.59631
110,11100,-9.34168,0.93613,0.14539,1.08492,-13.52768,0.93411,0.20278,1.59535
