iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,2_maddpg_actor_loss,2_maddpg_critic_loss
0,100,0.02926,1.03757,0.08192,1.01067
1,200,0.04159,0.85660,0.03737,0.81344
2,300,0.00800,0.88968,0.03958,0.85211
3,400,-0.00352,0.93584,0.01494,0.74687
4,500,-0.02525,0.84653,-0.00442,0.87819
5,600,-0.01968,0.91250,-0.02407,0.97178
6,700,-0.04188,0.85816,-0.01423,0.90632
7,800,-0.04279,0.79142,-0.02410,0.84390
8,900,-0.03606,0.96209,-0.00878,0.89526
9,1000,-0.04671,0.84181,-0.00783,1.05501
10,1100,-0.05132,0.78422,-0.02679,0.79853
11,1200,-0.06245,0.88258,-0.03590,0.83557
12,1300,-0.08575,0.89000,-0.05915,0.93653
13,1400,-0.07549,0.95602,-0.06846,0.88562
14,1500,-0.08683,0.86367,-0.06211,0.93613
15,1600,-0.11662,0.88219,-0.09651,1.09003
16,1700,-0.13321,0.91123,-0.11056,0.87243
17,1800,-0.14656,1.01487,-0.12712,0.91388
18,1900,-0.14881,0.94285,-0.12261,0.94730
19,2000,-0.16082,0.84090,-0.11593,0.92648
20,2100,-0.16217,0.92513,-0.12686,0.94156
21,2200,-0.15764,0.79621,-0.13003,0.96201
22,2300,-0.16427,0.85468,-0.15782,0.88479
23,2400,-0.14071,0.97916,-0.15211,0.86336
24,2500,-0.14258,0.88455,-0.13123,1.07615
25,2600,-0.16381,0.92365,-0.11277,0.92739
26,2700,-0.17471,0.82229,-0.13506,0.90661
27,2800,-0.18327,0.81242,-0.11109,0.86454
28,2900,-0.19181,0.88626,-0.13712,0.85910
29,3000,-0.20154,0.91312,-0.16165,0.83343
30,3100,-0.22093,0.80368,-0.15920,0.85127
31,3200,-0.22382,0.85163,-0.15496,0.91546
32,3300,-0.21541,0.99890,-0.15568,0.80679
33,3400,-0.22223,0.89901,-0.15580,0.88637
34,3500,-0.22835,0.85828,-0.14344,0.85181
35,3600,-0.25617,0.81107,-0.15914,0.91838
36,3700,-0.24215,0.97102,-0.16246,0.90206
37,3800,-0.23256,0.83814,-0.15913,0.93573
38,3900,-0.23597,0.90967,-0.16014,0.87281
39,4000,-0.24913,0.85604,-0.17928,0.81877
40,4100,-0.25893,0.88654,-0.15820,0.94815
41,4200,-0.27010,0.84367,-0.16315,0.94929
42,4300,-0.27602,0.98089,-0.16158,0.85875
43,4400,-0.27453,0.84859,-0.16220,0.91518
44,4500,-0.27420,0.83212,-0.16565,0.94886
45,4600,-0.27264,0.90437,-0.16693,0.92539
46,4700,-0.22636,0.97264,-0.14570,0.84474
47,4800,-0.23226,0.91873,-0.11074,0.87359
48,4900,-0.21226,1.01164,-0.13922,0.94823
49,5000,-0.20803,0.96123,-0.13492,0.84355
50,5100,-0.21453,0.90534,-0.14009,0.99774
51,5200,-0.22464,0.89444,-0.10722,1.05041
52,5300,-0.23829,1.01092,-0.12930,0.83003
53,5400,-0.20421,1.02878,-0.07226,0.95562
54,5500,-0.20426,1.03205,-0.07373,0.95556
55,5600,-0.26615,0.91412,-0.07894,1.02780
56,5700,-0.26344,0.87761,-0.10290,0.90490
57,5800,-0.30520,0.85892,-0.13176,0.96749
58,5900,-0.29832,0.89405,-0.07246,0.93555
59,6000,-0.27330,1.04267,-0.05347,0.97556
60,6100,-0.29388,0.90822,-0.07106,0.96022
61,6200,-0.30743,0.89078,-0.04529,0.91827
62,6300,-0.29316,0.89290,0.00818,0.98828
63,6400,-0.28808,0.86317,-0.03634,0.93333
64,6500,-0.29964,0.88345,-0.08112,0.90957
65,6600,-0.25260,0.91476,-0.05615,0.96780
66,6700,-0.27076,0.86122,-0.10107,0.93203
67,6800,-0.25062,0.97763,-0.11747,1.03000
68,6900,-0.22517,1.01355,-0.10305,0.95610
69,7000,-0.22023,0.96615,-0.11444,0.87162
70,7100,-0.22374,0.87972,-0.12169,0.91603
71,7200,-0.22220,0.90023,-0.09598,1.07503
72,7300,-0.27212,0.78610,-0.12606,0.85362
73,7400,-0.22253,0.86393,-0.09151,0.97795
74,7500,-0.25680,0.83063,-0.08404,1.08545
75,7600,-0.25439,0.88605,-0.11004,1.04519
76,7700,-0.25957,0.90609,-0.10719,0.88908
77,7800,-0.26050,0.95663,-0.08712,0.96652
78,7900,-0.32218,0.90740,-0.12430,0.89751
79,8000,-0.23672,0.87059,-0.09839,0.90734
80,8100,-0.27716,0.92053,-0.08512,1.06300
81,8200,-0.29552,0.85431,-0.08824,0.92913
82,8300,-0.27067,0.88176,-0.10409,0.89581
83,8400,-0.26088,1.01793,-0.11038,0.87809
84,8500,-0.28905,0.95008,-0.10192,0.90984
85,8600,-0.31684,0.91050,-0.07611,0.97247
