iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,1_icm_forward_loss,1_icm_inverse_loss,2_maddpg_actor_loss,2_maddpg_critic_loss,2_icm_forward_loss,2_icm_inverse_loss
0,100,-3.37939,2.05110,0.60602,2.09437,-3.38312,1.95863,0.60526,2.09506
1,200,-4.04803,1.04731,0.62891,2.08899,-3.98699,0.88997,0.62724,2.08981
2,300,-4.39782,1.01592,0.60926,2.08543,-4.24641,1.01359,0.60957,2.08503
3,400,-4.74059,1.07013,0.59635,2.09075,-4.69201,1.04527,0.59615,2.09032
4,500,-5.06252,1.24248,0.59545,2.09431,-5.07126,1.17796,0.59509,2.09396
5,600,-5.60303,1.10006,0.58589,2.09718,-5.47226,1.10583,0.58255,2.09768
6,700,-5.94443,1.39281,0.57030,2.10026,-5.84382,1.37193,0.56894,2.10055
7,800,-6.31310,1.53356,0.56134,2.10103,-6.27450,1.53374,0.56015,2.10089
8,900,-6.75525,1.38802,0.55290,2.10187,-6.67602,1.46997,0.55163,2.10234
9,1000,-7.17216,1.32146,0.54119,2.10045,-7.12410,1.16582,0.54066,2.10031
10,1100,-7.56851,1.08179,0.52892,2.09866,-7.48141,1.08565,0.52859,2.09887
11,1200,-7.90985,1.03021,0.52018,2.09803,-7.88377,0.95344,0.51837,2.09784
12,1300,-8.25172,1.03767,0.50977,2.09688,-8.15882,1.09314,0.50893,2.09605
13,1400,-8.59623,1.10489,0.50096,2.09636,-8.50303,1.12667,0.50005,2.09664
14,1500,-8.89103,1.03910,0.49364,2.09565,-8.72194,1.11676,0.49338,2.09645
15,1600,-9.15082,1.03805,0.48582,2.09574,-9.11563,1.05783,0.48638,2.09656
16,1700,-9.45398,1.06034,0.47877,2.09573,-9.39545,1.12086,0.47865,2.09575
17,1800,-9.67147,1.08347,0.47007,2.09508,-9.66717,0.98652,0.46925,2.09499
18,1900,-9.97362,1.10787,0.46126,2.09366,-9.95278,1.02032,0.46026,2.09382
19,2000,-10.17933,0.99933,0.45221,2.09400,-10.12186,1.17358,0.45259,2.09330
