iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,1_rnd_forward_loss,2_maddpg_actor_loss,2_maddpg_critic_loss,2_rnd_forward_loss
0,100,-7.29993,12.81544,1.25306,-7.40951,12.98992,1.25451
1,200,-7.91764,1.48763,1.30458,-7.92310,1.40446,1.30235
2,300,-8.81258,1.26661,1.28916,-8.66453,1.21943,1.28924
3,400,-9.48401,1.20396,1.28459,-9.51853,1.13271,1.29407
4,500,-10.59497,1.20887,1.29059,-10.46945,1.09751,1.28903
5,600,-11.79903,1.38901,1.31850,-11.62035,1.26566,1.30515
6,700,-12.87616,1.34931,1.33450,-12.64530,1.56117,1.32821
7,800,-14.11948,1.76227,1.34814,-13.69632,1.75947,1.34487
8,900,-14.96743,1.53856,1.34424,-14.69824,1.59283,1.34557
9,1000,-15.93252,1.94393,1.34342,-15.60655,1.82836,1.33855
10,1100,-16.93259,1.90602,1.31794,-16.60444,2.11318,1.31629
11,1200,-17.99348,2.51062,1.31346,-17.73296,1.60205,1.30920
12,1300,-18.93966,1.62851,1.31794,-18.81196,1.63739,1.31399
13,1400,-19.85087,1.68986,1.32688,-19.65630,2.04739,1.32133
14,1500,-20.76743,2.09065,1.34199,-20.51285,2.66244,1.34031
15,1600,-21.45489,4.15573,1.35550,-21.65865,4.28377,1.35640
16,1700,-22.18289,4.48696,1.36354,-22.29824,4.51018,1.36082
17,1800,-23.19191,5.58062,1.34994,-22.75546,6.60412,1.34684
18,1900,-24.38853,6.98862,1.35285,-23.93271,7.21862,1.34397
19,2000,-25.27613,5.60473,1.33359,-24.66366,6.33915,1.33630
20,2100,-25.74946,5.69127,1.32602,-25.27746,6.23340,1.33460
21,2200,-26.36505,6.84104,1.32866,-25.87630,6.60239,1.32660
22,2300,-26.91697,5.19897,1.31999,-26.56836,4.56742,1.32501
23,2400,-27.96865,2.84174,1.30162,-27.53132,3.35532,1.30156
24,2500,-28.86628,2.65210,1.28995,-28.07321,2.44071,1.28577
25,2600,-29.20815,3.39709,1.27082,-28.74748,1.96378,1.26966
26,2700,-30.00779,2.41904,1.24931,-29.16919,1.55879,1.25481
27,2800,-30.15488,2.17525,1.23897,-29.74084,1.39348,1.23262
28,2900,-30.89961,2.01410,1.22253,-30.13331,1.23082,1.22534
29,3000,-31.39254,2.39699,1.21260,-30.64845,1.24940,1.20408
30,3100,-31.70022,2.48871,1.19642,-31.08500,2.08890,1.18885
31,3200,-32.48588,2.16039,1.17963,-31.61270,1.97327,1.18027
32,3300,-32.85989,1.58134,1.16155,-32.10911,1.52152,1.16004
33,3400,-33.24671,1.63541,1.14753,-32.16392,1.44490,1.15382
34,3500,-33.65695,1.71255,1.12978,-32.47033,1.34696,1.12666
35,3600,-33.85097,1.40795,1.11896,-32.82739,1.47755,1.11720
36,3700,-34.01024,2.05716,1.10793,-33.23932,1.46198,1.10477
37,3800,-34.61550,2.29611,1.09162,-33.63154,1.67364,1.08772
38,3900,-34.68404,2.42092,1.07824,-33.81860,2.53330,1.07914
