number,rewards,variances,exploration_value
0,[-22.57905 -22.57905 -22.57905],[4.22630 4.22630 4.22630],0.3
100,[-10.61339 -10.61339 -10.61339],[4.41056 4.41056 4.41056],0.2988
200,[-14.15347 -14.15347 -14.15347],[10.58551 10.58551 10.58551],0.2976
300,[-10.95585 -10.95585 -10.95585],[2.91400 2.91400 2.91400],0.2964
400,[-8.77006 -8.77006 -8.77006],[0.92889 0.92889 0.92889],0.29519999999999996
500,[-10.25562 -10.25562 -10.25562],[1.26684 1.26684 1.26684],0.294
600,[-10.63916 -10.63916 -10.63916],[3.20793 3.20793 3.20793],0.2928
700,[-8.30560 -8.30560 -8.30560],[1.55473 1.55473 1.55473],0.29159999999999997
800,[-9.37699 -9.37699 -9.37699],[0.64396 0.64396 0.64396],0.2904
900,[-10.68421 -10.68421 -10.68421],[1.32263 1.32263 1.32263],0.28919999999999996
1000,[-8.58103 -8.58103 -8.58103],[0.69904 0.69904 0.69904],0.288
1100,[-9.18306 -9.18306 -9.18306],[1.41487 1.41487 1.41487],0.2868
1200,[-8.53472 -8.53472 -8.53472],[2.65053 2.65053 2.65053],0.28559999999999997
1300,[-9.72093 -9.72093 -9.72093],[2.75021 2.75021 2.75021],0.2844
1400,[-8.93430 -8.93430 -8.93430],[4.41017 4.41017 4.41017],0.28319999999999995
1500,[-9.87829 -9.87829 -9.87829],[2.72773 2.72773 2.72773],0.282
1600,[-9.62375 -9.62375 -9.62375],[3.28723 3.28723 3.28723],0.2808
1700,[-8.66300 -8.66300 -8.66300],[2.39183 2.39183 2.39183],0.2796
1800,[-8.38495 -8.38495 -8.38495],[0.79442 0.79442 0.79442],0.2784
1900,[-9.14905 -9.14905 -9.14905],[0.59721 0.59721 0.59721],0.2772
2000,[-8.84762 -8.84762 -8.84762],[1.96328 1.96328 1.96328],0.276
2100,[-8.14470 -8.14470 -8.14470],[2.59180 2.59180 2.59180],0.2748
2200,[-9.90935 -9.90935 -9.90935],[1.96634 1.96634 1.96634],0.2736
2300,[-7.97752 -7.97752 -7.97752],[0.81255 0.81255 0.81255],0.2724
2400,[-8.33113 -8.33113 -8.33113],[0.58993 0.58993 0.58993],0.2712
2500,[-8.75203 -8.75203 -8.75203],[0.99927 0.99927 0.99927],0.27
2600,[-9.71561 -9.71561 -9.71561],[1.62144 1.62144 1.62144],0.2688
2700,[-8.67956 -8.67956 -8.67956],[4.60373 4.60373 4.60373],0.2676
2800,[-8.67275 -8.67275 -8.67275],[2.58882 2.58882 2.58882],0.26639999999999997
2900,[-9.74288 -9.74288 -9.74288],[3.09574 3.09574 3.09574],0.2652
3000,[-9.30131 -9.30131 -9.30131],[3.18189 3.18189 3.18189],0.264
3100,[-7.96858 -7.96858 -7.96858],[0.86478 0.86478 0.86478],0.2628
3200,[-8.41247 -8.41247 -8.41247],[1.30134 1.30134 1.30134],0.2616
3300,[-9.02341 -9.02341 -9.02341],[4.72126 4.72126 4.72126],0.26039999999999996
3400,[-7.49504 -7.49504 -7.49504],[1.97086 1.97086 1.97086],0.2592
3500,[-9.36231 -9.36231 -9.36231],[0.71365 0.71365 0.71365],0.258
3600,[-9.08847 -9.08847 -9.08847],[0.53309 0.53309 0.53309],0.2568
3700,[-8.57183 -8.57183 -8.57183],[0.21265 0.21265 0.21265],0.2556
3800,[-7.83690 -7.83690 -7.83690],[3.81899 3.81899 3.81899],0.25439999999999996
3900,[-10.33191 -10.33191 -10.33191],[2.02753 2.02753 2.02753],0.2532
4000,[-9.07306 -9.07306 -9.07306],[0.87317 0.87317 0.87317],0.252
4100,[-8.63102 -8.63102 -8.63102],[2.86111 2.86111 2.86111],0.25079999999999997
4200,[-9.43721 -9.43721 -9.43721],[4.74874 4.74874 4.74874],0.2496
4300,[-8.62897 -8.62897 -8.62897],[0.67030 0.67030 0.67030],0.24839999999999998
4400,[-8.51656 -8.51656 -8.51656],[0.90472 0.90472 0.90472],0.24719999999999998
4500,[-9.28969 -9.28969 -9.28969],[1.74380 1.74380 1.74380],0.24599999999999997
4600,[-9.46987 -9.46987 -9.46987],[1.59049 1.59049 1.59049],0.24479999999999996
4700,[-8.86628 -8.86628 -8.86628],[4.21319 4.21319 4.21319],0.2436
4800,[-8.47833 -8.47833 -8.47833],[1.13363 1.13363 1.13363],0.2424
4900,[-9.06956 -9.06956 -9.06956],[1.45907 1.45907 1.45907],0.2412
5000,[-9.50421 -9.50421 -9.50421],[2.17413 2.17413 2.17413],0.24
5100,[-7.56593 -7.56593 -7.56593],[1.70398 1.70398 1.70398],0.2388
5200,[-9.25885 -9.25885 -9.25885],[0.34819 0.34819 0.34819],0.2376
5300,[-8.83862 -8.83862 -8.83862],[0.22668 0.22668 0.22668],0.2364
5400,[-9.82478 -9.82478 -9.82478],[0.45055 0.45055 0.45055],0.2352
5500,[-9.62915 -9.62915 -9.62915],[2.49106 2.49106 2.49106],0.23399999999999999
5600,[-10.70424 -10.70424 -10.70424],[2.77735 2.77735 2.77735],0.2328
5700,[-9.85195 -9.85195 -9.85195],[1.34045 1.34045 1.34045],0.2316
5800,[-10.24945 -10.24945 -10.24945],[0.44460 0.44460 0.44460],0.2304
5900,[-9.40361 -9.40361 -9.40361],[0.50818 0.50818 0.50818],0.2292
6000,[-9.45495 -9.45495 -9.45495],[1.52533 1.52533 1.52533],0.22799999999999998
6100,[-9.04008 -9.04008 -9.04008],[2.73656 2.73656 2.73656],0.2268
6200,[-9.66055 -9.66055 -9.66055],[1.58568 1.58568 1.58568],0.2256
6300,[-10.41044 -10.41044 -10.41044],[1.15089 1.15089 1.15089],0.2244
6400,[-10.01038 -10.01038 -10.01038],[4.97876 4.97876 4.97876],0.22319999999999998
6500,[-9.55366 -9.55366 -9.55366],[0.66239 0.66239 0.66239],0.222
6600,[-8.86260 -8.86260 -8.86260],[0.42306 0.42306 0.42306],0.2208
6700,[-9.56316 -9.56316 -9.56316],[1.67993 1.67993 1.67993],0.2196
6800,[-9.72439 -9.72439 -9.72439],[0.57693 0.57693 0.57693],0.21839999999999998
6900,[-8.42990 -8.42990 -8.42990],[0.35513 0.35513 0.35513],0.21719999999999998
7000,[-8.61462 -8.61462 -8.61462],[0.38732 0.38732 0.38732],0.216
7100,[-9.18514 -9.18514 -9.18514],[3.16747 3.16747 3.16747],0.2148
7200,[-11.04327 -11.04327 -11.04327],[0.65048 0.65048 0.65048],0.21359999999999998
7300,[-9.90989 -9.90989 -9.90989],[1.66936 1.66936 1.66936],0.21239999999999998
7400,[-8.99469 -8.99469 -8.99469],[0.91454 0.91454 0.91454],0.21119999999999997
7500,[-10.17425 -10.17425 -10.17425],[5.31752 5.31752 5.31752],0.21
7600,[-9.43488 -9.43488 -9.43488],[1.51565 1.51565 1.51565],0.20879999999999999
7700,[-10.26442 -10.26442 -10.26442],[1.37658 1.37658 1.37658],0.20759999999999998
7800,[-9.05237 -9.05237 -9.05237],[4.60372 4.60372 4.60372],0.20639999999999997
