iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,1_icm_forward_loss,1_icm_inverse_loss,2_maddpg_actor_loss,2_maddpg_critic_loss,2_icm_forward_loss,2_icm_inverse_loss,3_maddpg_actor_loss,3_maddpg_critic_loss,3_icm_forward_loss,3_icm_inverse_loss
0,100,-3.19663,2.02748,0.60073,2.72309,-3.22719,2.11891,0.60239,2.72266,-3.20608,2.11610,0.60320,2.72310
1,200,-3.93590,1.03352,0.62745,2.72102,-3.94003,1.09805,0.62849,2.72116,-3.98230,1.06029,0.62754,2.72103
2,300,-4.23339,1.05050,0.59626,2.71801,-4.24589,0.97531,0.59870,2.71918,-4.18721,1.09281,0.59698,2.71864
3,400,-4.60198,1.01291,0.56941,2.71892,-4.60999,1.00513,0.57116,2.71893,-4.62198,1.11914,0.57019,2.71907
4,500,-5.04483,1.12656,0.55872,2.72096,-5.01551,1.00660,0.56110,2.72112,-4.99317,1.08034,0.55929,2.72037
5,600,-5.38501,1.05600,0.54520,2.72063,-5.34346,1.08448,0.54701,2.72073,-5.36961,1.10676,0.54666,2.72063
6,700,-5.68112,1.22678,0.52676,2.71877,-5.72703,1.05146,0.52865,2.71884,-5.62560,1.23607,0.52923,2.71865
7,800,-6.07564,1.25791,0.51443,2.71763,-6.07454,1.12529,0.51246,2.71991,-6.04968,1.40847,0.51231,2.71867
8,900,-6.47025,1.06393,0.50887,2.71938,-6.46719,1.03141,0.51018,2.71857,-6.45130,1.19044,0.50942,2.71858
9,1000,-6.87031,1.09241,0.51309,2.71841,-6.97672,1.17875,0.51252,2.71742,-6.82253,1.16260,0.51286,2.71812
10,1100,-7.34511,1.02481,0.52809,2.71720,-7.35211,1.13134,0.53101,2.71668,-7.18497,1.30739,0.52693,2.71601
11,1200,-7.68835,1.09150,0.52325,2.71786,-7.70346,1.50959,0.52333,2.71805,-7.54257,1.13103,0.52247,2.71839
12,1300,-8.01308,1.25147,0.51444,2.71778,-8.19445,1.80891,0.52011,2.71788,-7.89978,1.23007,0.51434,2.71772
13,1400,-8.32217,1.14325,0.50663,2.71673,-8.22728,1.36418,0.50035,2.71675,-8.26029,1.19184,0.50146,2.71675
14,1500,-8.61687,1.27026,0.48869,2.71616,-8.62698,1.22739,0.49126,2.71606,-8.50160,1.17361,0.49252,2.71521
15,1600,-8.91160,1.27826,0.48066,2.71288,-8.89384,1.21561,0.48294,2.71323,-8.85468,1.17655,0.48467,2.71282
16,1700,-9.27923,1.04166,0.47558,2.71216,-9.51405,1.32649,0.47220,2.71244,-9.12742,1.15083,0.47800,2.71167
17,1800,-9.46657,1.00705,0.46010,2.71166,-9.52440,1.24334,0.45865,2.71178,-9.30110,1.20805,0.46053,2.71152
18,1900,-9.78677,1.21566,0.44473,2.71095,-9.83355,1.21707,0.44807,2.71005,-9.47178,1.34384,0.44923,2.71155
19,2000,-9.91644,1.44262,0.43707,2.71121,-9.99971,1.11668,0.43497,2.71085,-9.65036,1.16855,0.43609,2.71041
20,2100,-10.19802,1.38006,0.42326,2.70955,-10.11890,1.26381,0.42528,2.70950,-10.03392,1.37464,0.42189,2.71039
21,2200,-10.24841,1.52218,0.41236,2.70822,-10.33275,1.14283,0.41342,2.70856,-10.14181,1.10990,0.41353,2.70845
22,2300,-10.60741,1.44277,0.40242,2.70706,-10.50745,1.18351,0.40467,2.70741,-10.35797,1.36440,0.40249,2.70662
23,2400,-10.65440,1.46567,0.39404,2.70515,-10.71682,1.25674,0.39344,2.70527,-10.71166,1.26771,0.39268,2.70539
24,2500,-10.83905,1.27232,0.38297,2.70449,-10.72375,1.17579,0.38344,2.70453,-10.63495,1.19512,0.38179,2.70371
25,2600,-11.02206,1.17682,0.36956,2.70152,-11.12994,1.48172,0.36909,2.70208,-10.82910,1.05917,0.36969,2.70236
26,2700,-10.87970,1.56315,0.35749,2.70174,-11.03936,1.18368,0.35680,2.69979,-10.91533,1.28596,0.35809,2.70019
27,2800,-11.23070,1.43554,0.34876,2.69798,-11.20569,1.04768,0.34350,2.69898,-10.98415,1.28289,0.34437,2.69982
28,2900,-11.23543,1.17095,0.33126,2.69748,-11.23480,1.01808,0.33153,2.69823,-11.11137,1.04859,0.33087,2.69772
29,3000,-11.22984,1.10316,0.31869,2.69688,-11.35541,1.17763,0.31795,2.69605,-11.20215,1.10925,0.32012,2.69595
30,3100,-11.30274,1.31067,0.30853,2.69399,-11.29959,1.04053,0.30848,2.69409,-11.31208,1.23172,0.30794,2.69541
31,3200,-11.38073,1.13880,0.30004,2.69232,-11.49540,1.69979,0.29823,2.69292,-11.38717,1.10500,0.29756,2.69312
32,3300,-11.44432,1.02683,0.28755,2.69065,-11.53130,1.04878,0.28715,2.69102,-11.40036,1.09773,0.28670,2.69166
33,3400,-11.48252,1.60347,0.27742,2.69017,-11.29794,1.27455,0.27603,2.69097,-11.36521,1.59690,0.27554,2.69111
