number,rewards,variances,exploration_value
0,[-22.57905 -22.57905 -22.57905],[4.22630 4.22630 4.22630],0.3
100,[-9.57459 -9.57459 -9.57459],[2.78957 2.78957 2.78957],0.2988
200,[-10.28537 -10.28537 -10.28537],[2.65768 2.65768 2.65768],0.2976
300,[-10.23398 -10.23398 -10.23398],[3.08452 3.08452 3.08452],0.2964
400,[-9.38170 -9.38170 -9.38170],[0.84617 0.84617 0.84617],0.29519999999999996
500,[-12.25109 -12.25109 -12.25109],[2.40967 2.40967 2.40967],0.294
600,[-12.29380 -12.29380 -12.29380],[4.96932 4.96932 4.96932],0.2928
700,[-9.92232 -9.92232 -9.92232],[4.51050 4.51050 4.51050],0.29159999999999997
800,[-12.81694 -12.81694 -12.81694],[1.26645 1.26645 1.26645],0.2904
900,[-11.91909 -11.91909 -11.91909],[6.72547 6.72547 6.72547],0.28919999999999996
1000,[-10.85662 -10.85662 -10.85662],[9.45881 9.45881 9.45881],0.288
1100,[-9.20725 -9.20725 -9.20725],[0.73578 0.73578 0.73578],0.2868
1200,[-10.19721 -10.19721 -10.19721],[8.54704 8.54704 8.54704],0.28559999999999997
1300,[-15.57951 -15.57951 -15.57951],[8.60279 8.60279 8.60279],0.2844
1400,[-12.93869 -12.93869 -12.93869],[0.56631 0.56631 0.56631],0.28319999999999995
1500,[-13.08638 -13.08638 -13.08638],[59.76871 59.76871 59.76871],0.282
1600,[-10.01991 -10.01991 -10.01991],[3.24845 3.24845 3.24845],0.2808
1700,[-10.24487 -10.24487 -10.24487],[12.63345 12.63345 12.63345],0.2796
1800,[-9.59774 -9.59774 -9.59774],[3.03478 3.03478 3.03478],0.2784
1900,[-13.77352 -13.77352 -13.77352],[4.48939 4.48939 4.48939],0.2772
2000,[-10.39762 -10.39762 -10.39762],[1.72350 1.72350 1.72350],0.276
2100,[-11.23202 -11.23202 -11.23202],[13.10767 13.10767 13.10767],0.2748
2200,[-15.02473 -15.02473 -15.02473],[6.82782 6.82782 6.82782],0.2736
2300,[-14.13437 -14.13437 -14.13437],[12.98340 12.98340 12.98340],0.2724
2400,[-10.14640 -10.14640 -10.14640],[2.83804 2.83804 2.83804],0.2712
2500,[-10.93369 -10.93369 -10.93369],[3.24129 3.24129 3.24129],0.27
2600,[-11.24974 -11.24974 -11.24974],[6.19678 6.19678 6.19678],0.2688
2700,[-13.44806 -13.44806 -13.44806],[9.22553 9.22553 9.22553],0.2676
2800,[-11.27021 -11.27021 -11.27021],[1.75954 1.75954 1.75954],0.26639999999999997
2900,[-10.31911 -10.31911 -10.31911],[0.96155 0.96155 0.96155],0.2652
3000,[-11.77083 -11.77083 -11.77083],[4.26240 4.26240 4.26240],0.264
3100,[-9.34846 -9.34846 -9.34846],[0.51497 0.51497 0.51497],0.2628
3200,[-11.03443 -11.03443 -11.03443],[2.70907 2.70907 2.70907],0.2616
3300,[-11.50011 -11.50011 -11.50011],[6.68817 6.68817 6.68817],0.26039999999999996
3400,[-10.07368 -10.07368 -10.07368],[9.14288 9.14288 9.14288],0.2592
