iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,2_maddpg_actor_loss,2_maddpg_critic_loss,3_maddpg_actor_loss,3_maddpg_critic_loss
0,100,-0.11291,0.93404,-0.12322,0.96295,-0.12985,0.95050
1,200,-0.18753,0.83435,-0.20553,0.78935,-0.18712,0.77233
2,300,-0.17003,0.78309,-0.17954,0.80610,-0.14513,0.83549
3,400,-0.21934,0.75800,-0.20706,0.77976,-0.18484,0.81126
4,500,-0.22120,0.80292,-0.19858,0.82949,-0.20280,0.80409
5,600,-0.23312,0.80149,-0.22268,0.80297,-0.23244,0.80366
6,700,-0.26735,0.82229,-0.25946,0.78772,-0.23374,0.85419
7,800,-0.28482,0.80941,-0.27152,0.87056,-0.23849,0.85946
8,900,-0.28522,0.80708,-0.27677,0.84226,-0.26880,0.82958
9,1000,-0.27380,0.86457,-0.27993,0.87609,-0.24997,0.90155
10,1100,-0.28971,0.83971,-0.30529,0.85064,-0.27445,0.92302
11,1200,-0.31356,0.80485,-0.30471,0.93010,-0.31382,0.89666
12,1300,-0.29992,0.87288,-0.29952,0.85389,-0.31042,0.82592
13,1400,-0.32368,0.88984,-0.32953,0.87175,-0.33645,0.89300
14,1500,-0.33536,0.84617,-0.36983,0.84723,-0.35458,0.86555
15,1600,-0.36257,0.85495,-0.37801,0.84496,-0.36814,0.90676
16,1700,-0.38115,0.85920,-0.39535,0.84366,-0.37675,0.86248
17,1800,-0.39718,0.85218,-0.38967,0.87504,-0.40300,0.85683
18,1900,-0.39780,0.83296,-0.41542,0.87256,-0.41260,0.86233
19,2000,-0.39868,0.85340,-0.43695,0.83254,-0.40007,0.86218
20,2100,-0.41202,0.82913,-0.42361,0.85529,-0.41954,0.87223
21,2200,-0.42482,0.83400,-0.44651,0.84370,-0.40060,0.87307
22,2300,-0.43348,0.87188,-0.44957,0.86313,-0.39790,0.86783
23,2400,-0.41109,0.90507,-0.46746,0.84973,-0.43452,0.82040
24,2500,-0.42704,0.86801,-0.47576,0.85059,-0.43893,0.87445
25,2600,-0.46080,0.79986,-0.49151,0.84957,-0.40700,0.82136
