number,rewards,variances,exploration_value
0,[-11.45682 -11.45682 -11.45682],[5.10608 5.10608 5.10608],0.3
100,[-10.25654 -10.25654 -10.25654],[10.93269 10.93269 10.93269],0.2988
200,[-8.66864 -8.66864 -8.66864],[0.70248 0.70248 0.70248],0.2976
300,[-9.84444 -9.84444 -9.84444],[4.57928 4.57928 4.57928],0.2964
400,[-11.64339 -11.64339 -11.64339],[1.40015 1.40015 1.40015],0.29519999999999996
500,[-13.62307 -13.62307 -13.62307],[11.29693 11.29693 11.29693],0.294
600,[-9.00697 -9.00697 -9.00697],[0.69594 0.69594 0.69594],0.2928
700,[-10.13621 -10.13621 -10.13621],[3.91970 3.91970 3.91970],0.29159999999999997
800,[-10.99015 -10.99015 -10.99015],[7.41115 7.41115 7.41115],0.2904
900,[-12.94878 -12.94878 -12.94878],[11.49811 11.49811 11.49811],0.28919999999999996
1000,[-13.39821 -13.39821 -13.39821],[8.00524 8.00524 8.00524],0.288
1100,[-10.91707 -10.91707 -10.91707],[11.89327 11.89327 11.89327],0.2868
1200,[-14.46620 -14.46620 -14.46620],[41.81704 41.81704 41.81704],0.28559999999999997
1300,[-12.14912 -12.14912 -12.14912],[6.75002 6.75002 6.75002],0.2844
1400,[-11.09056 -11.09056 -11.09056],[7.36977 7.36977 7.36977],0.28319999999999995
1500,[-12.42213 -12.42213 -12.42213],[13.98347 13.98347 13.98347],0.282
1600,[-14.54905 -14.54905 -14.54905],[26.57425 26.57425 26.57425],0.2808
1700,[-13.02241 -13.02241 -13.02241],[6.79093 6.79093 6.79093],0.2796
1800,[-13.81884 -13.81884 -13.81884],[18.54718 18.54718 18.54718],0.2784
1900,[-12.71853 -12.71853 -12.71853],[2.51537 2.51537 2.51537],0.2772
2000,[-11.43222 -11.43222 -11.43222],[1.78743 1.78743 1.78743],0.276
2100,[-14.27467 -14.27467 -14.27467],[18.08456 18.08456 18.08456],0.2748
2200,[-9.91396 -9.91396 -9.91396],[10.81316 10.81316 10.81316],0.2736
