number,rewards,variances,exploration_value
0,[-11.45682 -11.45682 -11.45682],[5.10608 5.10608 5.10608],0.3
100,[-13.02538 -13.02538 -13.02538],[4.19417 4.19417 4.19417],0.2988
200,[-9.51118 -9.51118 -9.51118],[4.42465 4.42465 4.42465],0.2976
300,[-12.62574 -12.62574 -12.62574],[4.11274 4.11274 4.11274],0.2964
400,[-9.57588 -9.57588 -9.57588],[4.33565 4.33565 4.33565],0.29519999999999996
500,[-12.94942 -12.94942 -12.94942],[9.42810 9.42810 9.42810],0.294
600,[-8.52502 -8.52502 -8.52502],[2.22831 2.22831 2.22831],0.2928
700,[-10.01303 -10.01303 -10.01303],[1.42910 1.42910 1.42910],0.29159999999999997
800,[-11.19442 -11.19442 -11.19442],[5.13127 5.13127 5.13127],0.2904
900,[-10.54130 -10.54130 -10.54130],[15.47749 15.47749 15.47749],0.28919999999999996
1000,[-11.59544 -11.59544 -11.59544],[5.16927 5.16927 5.16927],0.288
1100,[-10.60722 -10.60722 -10.60722],[5.68951 5.68951 5.68951],0.2868
1200,[-11.62352 -11.62352 -11.62352],[3.63661 3.63661 3.63661],0.28559999999999997
1300,[-13.90059 -13.90059 -13.90059],[7.69736 7.69736 7.69736],0.2844
1400,[-10.82068 -10.82068 -10.82068],[1.98281 1.98281 1.98281],0.28319999999999995
1500,[-10.24461 -10.24461 -10.24461],[6.49610 6.49610 6.49610],0.282
1600,[-11.93512 -11.93512 -11.93512],[25.60673 25.60673 25.60673],0.2808
1700,[-10.17931 -10.17931 -10.17931],[2.13555 2.13555 2.13555],0.2796
1800,[-8.34166 -8.34166 -8.34166],[1.26698 1.26698 1.26698],0.2784
1900,[-9.51973 -9.51973 -9.51973],[1.38661 1.38661 1.38661],0.2772
2000,[-11.26799 -11.26799 -11.26799],[1.80885 1.80885 1.80885],0.276
2100,[-11.12799 -11.12799 -11.12799],[8.88597 8.88597 8.88597],0.2748
2200,[-9.72416 -9.72416 -9.72416],[1.14533 1.14533 1.14533],0.2736
2300,[-10.15597 -10.15597 -10.15597],[1.30537 1.30537 1.30537],0.2724
2400,[-13.56103 -13.56103 -13.56103],[26.22217 26.22217 26.22217],0.2712
2500,[-10.02735 -10.02735 -10.02735],[0.56204 0.56204 0.56204],0.27
2600,[-12.54963 -12.54963 -12.54963],[20.83228 20.83228 20.83228],0.2688
2700,[-10.10414 -10.10414 -10.10414],[2.02522 2.02522 2.02522],0.2676
2800,[-10.34077 -10.34077 -10.34077],[3.13735 3.13735 3.13735],0.26639999999999997
2900,[-9.08788 -9.08788 -9.08788],[0.60005 0.60005 0.60005],0.2652
3000,[-11.44736 -11.44736 -11.44736],[12.43238 12.43238 12.43238],0.264
3100,[-11.86076 -11.86076 -11.86076],[0.68649 0.68649 0.68649],0.2628
3200,[-11.36722 -11.36722 -11.36722],[5.05106 5.05106 5.05106],0.2616
3300,[-12.78791 -12.78791 -12.78791],[17.91608 17.91608 17.91608],0.26039999999999996
3400,[-9.60830 -9.60830 -9.60830],[1.14471 1.14471 1.14471],0.2592
3500,[-15.58031 -15.58031 -15.58031],[10.98265 10.98265 10.98265],0.258
3600,[-13.11372 -13.11372 -13.11372],[11.21246 11.21246 11.21246],0.2568
3700,[-12.71818 -12.71818 -12.71818],[4.00818 4.00818 4.00818],0.2556
3800,[-9.22420 -9.22420 -9.22420],[0.69140 0.69140 0.69140],0.25439999999999996
3900,[-12.33318 -12.33318 -12.33318],[11.87388 11.87388 11.87388],0.2532
4000,[-9.87497 -9.87497 -9.87497],[1.34314 1.34314 1.34314],0.252
4100,[-10.78442 -10.78442 -10.78442],[4.30005 4.30005 4.30005],0.25079999999999997
4200,[-10.06764 -10.06764 -10.06764],[0.97678 0.97678 0.97678],0.2496
4300,[-11.01966 -11.01966 -11.01966],[7.64224 7.64224 7.64224],0.24839999999999998
4400,[-11.65533 -11.65533 -11.65533],[5.15877 5.15877 5.15877],0.24719999999999998
4500,[-9.41691 -9.41691 -9.41691],[2.30874 2.30874 2.30874],0.24599999999999997
4600,[-10.36603 -10.36603 -10.36603],[7.25683 7.25683 7.25683],0.24479999999999996
4700,[-10.97193 -10.97193 -10.97193],[6.13442 6.13442 6.13442],0.2436
