iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,1_icm_forward_loss,1_icm_inverse_loss,2_maddpg_actor_loss,2_maddpg_critic_loss,2_icm_forward_loss,2_icm_inverse_loss,3_maddpg_actor_loss,3_maddpg_critic_loss,3_icm_forward_loss,3_icm_inverse_loss
0,100,-2.63606,1.81282,0.48212,1.61132,-2.69946,1.92509,0.51207,1.61357,-2.66509,1.86001,0.50575,1.60583
1,200,-3.25313,1.00032,0.51230,1.60831,-3.23928,0.98770,0.50162,1.61555,-3.22567,1.02880,0.50026,1.60460
2,300,-3.52731,1.01235,0.50173,1.60998,-3.55410,1.03986,0.50351,1.61413,-3.52236,0.98367,0.49027,1.60721
3,400,-3.90901,1.02466,0.50357,1.61245,-4.02950,1.01316,0.51601,1.61409,-3.93397,1.02531,0.50373,1.60945
4,500,-4.37773,1.02324,0.51043,1.61434,-4.40986,1.02543,0.51542,1.61211,-4.29120,1.06371,0.49918,1.61068
5,600,-4.82860,1.09760,0.51431,1.61488,-4.88113,0.99985,0.51930,1.61125,-4.77993,0.99953,0.50708,1.61205
6,700,-5.24843,1.03028,0.51362,1.61612,-5.31217,1.04393,0.50894,1.61061,-5.10820,0.98984,0.49512,1.61135
7,800,-5.66678,0.99523,0.51176,1.61580,-5.68708,1.23121,0.49795,1.61019,-5.45002,1.03281,0.48980,1.61224
8,900,-6.07128,1.06325,0.51771,1.61623,-6.00610,1.15081,0.49484,1.60953,-5.91233,1.08731,0.48526,1.61231
9,1000,-6.48258,1.08964,0.51654,1.61534,-6.38403,1.11071,0.49081,1.60950,-6.21717,1.05405,0.48251,1.61241
10,1100,-6.84127,1.23344,0.51482,1.61586,-6.68876,1.10730,0.48753,1.60943,-6.62496,1.34680,0.48097,1.61342
11,1200,-7.22770,1.21361,0.50672,1.61531,-7.03783,1.17255,0.48372,1.60828,-6.86935,1.23112,0.47636,1.61371
12,1300,-7.55599,1.13115,0.50040,1.61478,-7.35917,1.08787,0.47963,1.60760,-7.24900,1.23412,0.47371,1.61327
13,1400,-7.91828,1.08060,0.49984,1.61383,-7.72588,1.17924,0.47960,1.60771,-7.64619,1.19220,0.47282,1.61297
14,1500,-8.26795,1.09358,0.49437,1.61425,-8.08136,1.18660,0.47721,1.60730,-7.85151,1.14385,0.47312,1.61219
15,1600,-8.51889,1.09442,0.48845,1.61435,-8.29561,1.06809,0.47489,1.60675,-8.20254,1.06542,0.46858,1.61284
16,1700,-8.83872,1.10434,0.48422,1.61469,-8.75928,1.48551,0.47232,1.60720,-8.49081,1.12348,0.46582,1.61296
17,1800,-9.21947,1.35217,0.47801,1.61430,-8.82229,1.31025,0.46480,1.60804,-8.89731,1.18660,0.46099,1.61347
18,1900,-9.42969,1.46354,0.47200,1.61439,-9.25794,1.06265,0.46043,1.60847,-9.07448,1.07427,0.45858,1.61340
19,2000,-9.85240,1.57797,0.46907,1.61480,-9.48322,1.25668,0.45743,1.60792,-9.43578,1.13700,0.45400,1.61371
20,2100,-10.08713,1.64859,0.46796,1.61477,-9.88502,1.13837,0.45650,1.60770,-9.73434,1.17583,0.45172,1.61372
21,2200,-10.19124,1.78129,0.46427,1.61486,-10.18991,1.22430,0.45475,1.60788,-10.02891,1.17099,0.44910,1.61387
22,2300,-10.62822,1.15211,0.46283,1.61454,-10.37369,1.03044,0.45055,1.60800,-10.26171,1.21137,0.44439,1.61407
23,2400,-10.87760,1.29432,0.45909,1.61402,-10.67040,1.11403,0.44747,1.60747,-10.48276,1.22247,0.44330,1.61412
24,2500,-11.03732,1.28708,0.45167,1.61406,-10.82435,1.16219,0.44596,1.60684,-10.76516,1.31357,0.43940,1.61386
25,2600,-11.39012,1.15984,0.44981,1.61352,-11.13885,1.26654,0.44209,1.60608,-10.95387,1.18637,0.43775,1.61309
26,2700,-11.36482,1.38150,0.44402,1.61345,-11.37675,1.23589,0.43893,1.60613,-11.30655,1.11976,0.43354,1.61337
27,2800,-11.91299,1.74403,0.43958,1.61367,-11.57310,1.21187,0.43748,1.60576,-11.43808,1.08412,0.42827,1.61351
28,2900,-11.96701,1.53218,0.43475,1.61321,-11.77067,1.34834,0.43207,1.60524,-11.75969,1.10195,0.42820,1.61311
29,3000,-12.16075,1.26326,0.42894,1.61308,-12.07806,1.14425,0.42781,1.60575,-12.05899,1.32659,0.42321,1.61369
30,3100,-12.29831,1.32763,0.42619,1.61247,-12.14143,1.32125,0.42636,1.60515,-12.11817,1.42091,0.42159,1.61345
31,3200,-12.41228,1.18682,0.42195,1.61213,-12.43535,1.04083,0.42278,1.60492,-12.40974,1.26122,0.41436,1.61343
32,3300,-12.74032,1.23112,0.41856,1.61204,-12.62756,1.03638,0.41836,1.60498,-12.59279,1.13195,0.41397,1.61327
33,3400,-12.89269,1.15761,0.41499,1.61200,-12.78208,1.20485,0.41429,1.60523,-12.82870,1.68852,0.40765,1.61296
34,3500,-13.05011,1.22184,0.41096,1.61161,-12.96143,1.20635,0.40787,1.60470,-12.94842,1.43359,0.40326,1.61311
35,3600,-13.19207,1.03411,0.40654,1.61094,-13.13052,1.13977,0.40551,1.60462,-13.03895,1.11646,0.40053,1.61270
36,3700,-13.37051,1.07616,0.40299,1.61075,-13.26621,1.32378,0.40517,1.60448,-13.36810,1.36404,0.39526,1.61261
37,3800,-13.55416,1.02274,0.39866,1.61005,-13.59406,1.40494,0.40017,1.60415,-13.26813,1.62140,0.39495,1.61245
38,3900,-13.53844,1.14937,0.39610,1.60942,-13.31196,2.20808,0.39860,1.60443,-13.40160,1.59396,0.38747,1.61261
39,4000,-13.80498,1.22126,0.39109,1.60933,-13.63482,1.25334,0.39225,1.60423,-13.68209,1.31044,0.38286,1.61254
40,4100,-13.97861,1.15646,0.38809,1.60890,-13.86985,1.37422,0.38941,1.60448,-13.56107,1.18413,0.37982,1.61227
41,4200,-14.10199,1.09111,0.38359,1.60872,-13.87786,1.12751,0.38520,1.60373,-13.90231,1.13112,0.37710,1.61221
42,4300,-14.24586,1.47243,0.38041,1.60823,-13.95527,1.07786,0.38080,1.60470,-13.86362,1.16247,0.37180,1.61198
43,4400,-14.15682,1.13900,0.37760,1.60819,-14.00659,1.04748,0.37761,1.60452,-13.95954,1.44387,0.36777,1.61184
44,4500,-14.27757,1.09670,0.37172,1.60773,-14.12074,1.25293,0.37373,1.60502,-14.00760,1.57385,0.36323,1.61139
45,4600,-14.43092,1.30528,0.36872,1.60695,-14.42465,1.31079,0.36994,1.60511,-14.31827,1.25205,0.35927,1.61141
46,4700,-14.56579,1.25371,0.36534,1.60684,-14.40869,1.22293,0.36565,1.60486,-14.25087,1.04101,0.35546,1.61113
47,4800,-14.57992,1.24244,0.36094,1.60616,-14.36352,1.32521,0.36144,1.60491,-14.35886,1.00154,0.35348,1.61069
48,4900,-14.66763,1.39255,0.35731,1.60605,-14.63283,1.77994,0.35694,1.60408,-14.31406,1.21440,0.35018,1.61040
49,5000,-14.63109,1.18731,0.35367,1.60565,-14.69399,1.07906,0.35571,1.60425,-14.62872,1.43468,0.34619,1.61058
50,5100,-14.82522,1.47437,0.35068,1.60537,-14.76601,1.19075,0.35302,1.60393,-14.59581,1.51563,0.34355,1.61003
51,5200,-14.82804,1.15219,0.34744,1.60476,-14.78076,0.98815,0.35159,1.60378,-14.56815,1.36383,0.34036,1.60985
52,5300,-14.84506,1.22957,0.34292,1.60447,-14.84162,1.07971,0.34729,1.60314,-14.65510,1.01112,0.33721,1.60944
53,5400,-14.89434,1.27987,0.33828,1.60424,-14.91627,1.07246,0.34389,1.60301,-14.65349,1.37164,0.33427,1.60927
