number,rewards,variances,exploration_value
0,[-11.45682 -11.45682 -11.45682],[5.10608 5.10608 5.10608],0.3
100,[-9.64436 -9.64436 -9.64436],[7.37009 7.37009 7.37009],0.2988
200,[-11.73994 -11.73994 -11.73994],[10.84451 10.84451 10.84451],0.2976
300,[-8.10712 -8.10712 -8.10712],[3.85914 3.85914 3.85914],0.2964
400,[-8.70879 -8.70879 -8.70879],[5.56286 5.56286 5.56286],0.29519999999999996
500,[-9.56226 -9.56226 -9.56226],[2.15742 2.15742 2.15742],0.294
600,[-9.21036 -9.21036 -9.21036],[2.37145 2.37145 2.37145],0.2928
700,[-8.62589 -8.62589 -8.62589],[0.65939 0.65939 0.65939],0.29159999999999997
800,[-7.91570 -7.91570 -7.91570],[1.10715 1.10715 1.10715],0.2904
900,[-6.99293 -6.99293 -6.99293],[0.79044 0.79044 0.79044],0.28919999999999996
1000,[-6.91945 -6.91945 -6.91945],[1.15633 1.15633 1.15633],0.288
1100,[-8.81969 -8.81969 -8.81969],[3.40251 3.40251 3.40251],0.2868
1200,[-7.93506 -7.93506 -7.93506],[1.38510 1.38510 1.38510],0.28559999999999997
1300,[-7.68434 -7.68434 -7.68434],[3.03979 3.03979 3.03979],0.2844
1400,[-8.38509 -8.38509 -8.38509],[3.34764 3.34764 3.34764],0.28319999999999995
1500,[-7.04307 -7.04307 -7.04307],[0.34460 0.34460 0.34460],0.282
1600,[-8.46779 -8.46779 -8.46779],[4.10992 4.10992 4.10992],0.2808
1700,[-7.87568 -7.87568 -7.87568],[0.28653 0.28653 0.28653],0.2796
1800,[-7.51023 -7.51023 -7.51023],[0.59784 0.59784 0.59784],0.2784
1900,[-6.43112 -6.43112 -6.43112],[0.08295 0.08295 0.08295],0.2772
2000,[-8.63382 -8.63382 -8.63382],[1.12833 1.12833 1.12833],0.276
2100,[-7.56824 -7.56824 -7.56824],[1.91099 1.91099 1.91099],0.2748
2200,[-8.12598 -8.12598 -8.12598],[1.69212 1.69212 1.69212],0.2736
2300,[-7.11466 -7.11466 -7.11466],[0.32010 0.32010 0.32010],0.2724
2400,[-6.88546 -6.88546 -6.88546],[0.40475 0.40475 0.40475],0.2712
2500,[-7.52330 -7.52330 -7.52330],[0.62709 0.62709 0.62709],0.27
2600,[-7.14797 -7.14797 -7.14797],[0.58635 0.58635 0.58635],0.2688
2700,[-6.69701 -6.69701 -6.69701],[0.12710 0.12710 0.12710],0.2676
2800,[-7.66056 -7.66056 -7.66056],[0.49548 0.49548 0.49548],0.26639999999999997
2900,[-6.69464 -6.69464 -6.69464],[0.08483 0.08483 0.08483],0.2652
3000,[-7.65078 -7.65078 -7.65078],[1.12548 1.12548 1.12548],0.264
3100,[-7.17609 -7.17609 -7.17609],[1.38927 1.38927 1.38927],0.2628
3200,[-6.39933 -6.39933 -6.39933],[0.44138 0.44138 0.44138],0.2616
3300,[-7.32844 -7.32844 -7.32844],[1.27705 1.27705 1.27705],0.26039999999999996
3400,[-6.09967 -6.09967 -6.09967],[0.15183 0.15183 0.15183],0.2592
3500,[-7.25995 -7.25995 -7.25995],[1.35228 1.35228 1.35228],0.258
3600,[-7.30763 -7.30763 -7.30763],[0.93881 0.93881 0.93881],0.2568
3700,[-7.89389 -7.89389 -7.89389],[1.85359 1.85359 1.85359],0.2556
3800,[-6.26305 -6.26305 -6.26305],[0.42834 0.42834 0.42834],0.25439999999999996
3900,[-6.59647 -6.59647 -6.59647],[0.75434 0.75434 0.75434],0.2532
