iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,1_count_value,2_maddpg_actor_loss,2_maddpg_critic_loss,2_count_value,3_maddpg_actor_loss,3_maddpg_critic_loss,3_count_value
0,100,-1.71626,3.25449,0.33013,-1.67788,2.42819,0.29296,-1.66047,2.10994,0.27287
1,200,-1.73517,1.70530,0.23553,-1.70387,1.63975,0.22926,-1.70357,1.45747,0.22174
2,300,-1.99560,1.63322,0.22616,-1.97534,1.49287,0.22132,-1.92759,1.49122,0.21723
3,400,-2.25392,1.56207,0.21736,-2.21380,1.51077,0.21468,-2.20095,1.43217,0.21306
4,500,-2.46142,1.52024,0.21567,-2.47246,1.43767,0.21283,-2.43216,1.44961,0.21081
5,600,-2.71038,1.47717,0.21130,-2.75339,1.40738,0.21264,-2.68976,1.42558,0.20875
6,700,-2.94271,1.48193,0.21375,-3.01161,1.41780,0.21284,-2.98598,1.43384,0.21000
7,800,-3.23557,1.49942,0.21290,-3.17954,1.55449,0.21268,-3.22233,1.45482,0.21119
8,900,-3.46246,1.48204,0.21380,-3.44469,1.45053,0.21251,-3.46657,1.41416,0.20958
9,1000,-3.71131,1.50857,0.21366,-3.63431,1.46194,0.21316,-3.71607,1.39081,0.21169
10,1100,-3.92931,1.45114,0.21219,-3.90687,1.44647,0.21034,-3.91531,1.37803,0.21041
11,1200,-4.15883,1.43923,0.20962,-4.13252,1.42748,0.20761,-4.17938,1.47815,0.21020
12,1300,-4.33695,1.49621,0.20861,-4.34833,1.41652,0.20944,-4.37662,1.40083,0.20467
13,1400,-4.57201,1.44452,0.20619,-4.60005,1.52440,0.20449,-4.61480,1.38780,0.20337
14,1500,-4.82577,1.46010,0.20138,-4.72645,1.46483,0.20284,-4.82754,1.46105,0.20134
15,1600,-4.92312,1.54349,0.20054,-4.96385,1.40333,0.19834,-5.03172,1.35667,0.19734
16,1700,-5.18855,1.40931,0.19639,-5.21366,1.43820,0.19983,-5.24352,1.33827,0.19598
17,1800,-5.34307,1.54042,0.19653,-5.41399,1.37149,0.19593,-5.33188,1.54955,0.19528
18,1900,-5.57159,1.46360,0.19489,-5.58385,1.35876,0.19299,-5.61264,1.49173,0.19255
19,2000,-5.75663,1.45218,0.19338,-5.78837,1.45779,0.19166,-5.77197,1.43890,0.18919
20,2100,-5.96100,1.43074,0.19106,-6.00005,1.49710,0.19050,-6.00556,1.37898,0.18934
21,2200,-6.19073,1.45725,0.19087,-6.18297,1.43368,0.19193,-6.18066,1.42555,0.18897
22,2300,-6.37132,1.56590,0.18981,-6.39803,1.37313,0.18875,-6.46799,1.42887,0.19038
23,2400,-6.58079,1.66674,0.19212,-6.64244,1.36021,0.19224,-6.60414,1.42178,0.19146
24,2500,-6.83809,1.53549,0.19386,-6.79461,1.43212,0.19237,-6.86253,1.54134,0.19321
25,2600,-7.05530,1.54505,0.19621,-6.94335,1.62182,0.19251,-7.00434,1.49082,0.19354
26,2700,-7.21161,1.51400,0.19560,-7.19291,1.58800,0.19509,-7.22991,1.46278,0.19325
27,2800,-7.39924,1.45373,0.19677,-7.45171,1.50174,0.19418,-7.47995,1.46001,0.19168
28,2900,-7.60743,1.37975,0.19479,-7.64150,1.46240,0.19475,-7.72884,1.55877,0.19485
29,3000,-7.74861,1.67845,0.19684,-7.77830,1.48258,0.19243,-7.83467,1.47671,0.19424
30,3100,-7.98021,1.63573,0.19433,-8.10539,1.35363,0.19491,-8.07424,1.43146,0.19641
31,3200,-8.23919,1.45398,0.19587,-8.19184,1.46380,0.19394,-8.30711,1.44572,0.19627
32,3300,-8.37474,1.45403,0.19359,-8.46198,1.46391,0.19373,-8.52256,1.63637,0.19249
33,3400,-8.55717,1.40242,0.19277,-8.64378,1.45787,0.19423,-8.69774,1.42250,0.19186
34,3500,-8.81801,1.56884,0.19366,-8.81488,1.47855,0.19221,-8.96850,1.59675,0.19328
35,3600,-8.98500,1.50839,0.19220,-8.95643,1.49236,0.19096,-9.10742,1.53027,0.19148
