iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,1_rnd_forward_loss,2_maddpg_actor_loss,2_maddpg_critic_loss,2_rnd_forward_loss,3_maddpg_actor_loss,3_maddpg_critic_loss,3_rnd_forward_loss
0,100,-7.76928,13.89366,1.47633,-7.78811,14.01350,1.47293,-7.78414,13.83073,1.47637
1,200,-9.27952,2.13621,1.59897,-9.25765,2.15536,1.59775,-9.27002,2.07761,1.60152
2,300,-9.34505,1.62771,1.44328,-9.31522,1.34293,1.43380,-9.35371,1.45810,1.43828
3,400,-9.69464,1.47797,1.36408,-9.73983,1.24329,1.36903,-9.80430,1.58354,1.36780
4,500,-10.70772,2.21869,1.34433,-10.71951,1.31418,1.35124,-10.75675,2.23636,1.34053
5,600,-11.50636,1.69831,1.34937,-11.59846,1.46358,1.34475,-11.64736,1.52587,1.34998
6,700,-12.72263,1.84886,1.37003,-12.69885,1.43281,1.37515,-12.71768,1.61019,1.36523
7,800,-13.65403,1.64975,1.35296,-13.66413,1.60075,1.35087,-13.70307,2.15437,1.35040
8,900,-14.65748,2.03246,1.33847,-14.88390,1.59741,1.34643,-14.85450,1.69495,1.34914
9,1000,-15.68475,2.01266,1.33320,-15.69288,1.67750,1.32654,-15.75293,1.80877,1.33362
10,1100,-16.42647,2.13598,1.32146,-16.58745,1.58404,1.32933,-16.66200,1.37833,1.32196
11,1200,-17.41431,2.76721,1.31697,-17.46714,2.09680,1.31873,-17.53142,1.68404,1.31912
12,1300,-18.48978,1.48006,1.30501,-18.35234,2.55858,1.30759,-18.57598,2.40353,1.31587
13,1400,-19.39987,1.68865,1.29386,-19.35293,3.08893,1.29254,-19.61559,2.10056,1.29283
14,1500,-20.40861,1.39161,1.28502,-20.71247,2.15239,1.27767,-20.50334,1.88903,1.28411
15,1600,-21.30959,1.92898,1.28312,-21.33611,1.21005,1.27591,-21.31848,1.39317,1.26876
16,1700,-22.19112,4.06336,1.27447,-22.36894,2.14673,1.26260,-22.32802,1.76218,1.27226
17,1800,-23.07037,1.98798,1.26208,-23.12284,3.17540,1.25737,-23.50170,1.91583,1.26652
18,1900,-23.74792,2.83841,1.25636,-24.15790,2.58467,1.25981,-24.03609,2.38392,1.25346
19,2000,-24.91481,1.95852,1.26040,-24.85411,2.05253,1.26056,-24.95392,4.23849,1.24722
20,2100,-25.70878,1.75778,1.24440,-25.71862,1.21736,1.24822,-25.82248,2.04514,1.24761
21,2200,-26.16078,3.91901,1.23983,-26.51324,2.09594,1.23910,-26.64103,1.74406,1.23603
22,2300,-26.93774,2.62122,1.23295,-27.53413,1.83936,1.22771,-27.41382,1.50924,1.22252
23,2400,-27.95429,3.60018,1.22140,-28.03418,1.75794,1.22336,-27.97547,1.98683,1.22311
24,2500,-28.62183,5.37787,1.20544,-28.66361,1.80845,1.20949,-28.81176,1.60404,1.21054
25,2600,-29.13529,2.08170,1.20365,-29.30128,3.17027,1.19076,-29.42084,2.10462,1.20105
26,2700,-30.16813,2.79331,1.19034,-30.32231,2.56774,1.19227,-29.95028,2.18085,1.19134
27,2800,-30.92677,2.25362,1.17701,-30.84872,2.32958,1.17166,-30.91572,2.18708,1.17748
28,2900,-31.28878,2.33255,1.16156,-31.62818,3.02834,1.16400,-31.51867,2.48470,1.15666
29,3000,-31.35259,3.94906,1.15648,-31.87890,1.57772,1.15878,-32.11875,3.16076,1.15747
30,3100,-32.72192,4.67967,1.15223,-32.44085,2.36865,1.15105,-32.78513,3.54046,1.14919
31,3200,-32.96193,2.74178,1.14257,-32.99712,4.61343,1.13854,-32.95950,3.08532,1.14092
32,3300,-33.37001,3.50552,1.12841,-33.80348,6.36414,1.13086,-33.45710,1.81033,1.13763
33,3400,-34.31188,5.94834,1.12464,-34.22744,2.57043,1.12435,-34.12047,1.79732,1.12551
34,3500,-34.56706,3.77492,1.11608,-34.75027,2.39699,1.12219,-34.54754,5.42009,1.11843
35,3600,-35.14195,2.15834,1.10296,-34.75295,3.33981,1.10399,-35.48589,3.38413,1.09987
36,3700,-35.28073,3.11004,1.08696,-35.63669,2.72206,1.09253,-35.59219,1.25684,1.08884
37,3800,-35.77096,2.49589,1.08199,-36.32752,6.67606,1.08029,-35.96656,1.42195,1.07788
38,3900,-35.82938,3.16201,1.06151,-36.05910,5.16207,1.05875,-36.33898,2.07370,1.05890
39,4000,-36.17907,6.00322,1.05401,-37.05820,4.03108,1.04208,-36.81132,1.66299,1.04813
40,4100,-36.98299,3.71417,1.02644,-36.68719,5.19900,1.03448,-36.97603,1.32044,1.03417
41,4200,-37.08027,1.99291,1.00578,-37.23843,2.44291,1.00399,-37.13548,3.73972,1.01240
42,4300,-37.13142,4.28144,0.99504,-37.62934,1.36601,0.98943,-37.89447,5.17473,0.98720
43,4400,-37.51954,1.87497,0.97208,-37.49594,1.31693,0.98047,-37.97536,1.78407,0.97956
44,4500,-37.31947,1.73833,0.95497,-37.77081,2.99745,0.95630,-37.53797,1.94656,0.95909
45,4600,-37.71969,2.23326,0.94257,-37.98607,4.58378,0.94179,-37.82676,1.74646,0.94298
46,4700,-37.85335,2.45524,0.92658,-37.94783,3.66706,0.92747,-37.80494,2.00004,0.92628
47,4800,-37.91390,1.36881,0.90964,-37.73616,3.04187,0.90773,-37.80374,4.64599,0.90860
48,4900,-37.81560,1.36304,0.89410,-38.75117,4.89484,0.89335,-38.48053,2.65010,0.89681
49,5000,-38.05618,2.45808,0.87633,-38.69370,2.19805,0.87226,-38.16449,3.17725,0.87498
50,5100,-38.07180,4.34065,0.85625,-38.28392,2.02439,0.85827,-38.21903,3.61901,0.86198
51,5200,-38.14260,2.47427,0.83937,-38.07757,2.00454,0.84438,-38.39207,1.83473,0.84154
52,5300,-38.38532,1.84833,0.82808,-38.15210,1.81513,0.82368,-38.37726,3.12130,0.82561
53,5400,-37.82841,1.82325,0.81261,-38.31935,1.77745,0.81591,-38.82361,3.77754,0.81349
54,5500,-38.24662,2.44118,0.79986,-38.04960,3.50386,0.79246,-37.96558,2.84837,0.79326
55,5600,-38.25250,5.95579,0.78528,-38.33746,3.59231,0.78288,-38.08236,2.31936,0.78159
56,5700,-38.88884,6.18299,0.77119,-38.20815,3.82577,0.76939,-37.93337,2.43506,0.76867
57,5800,-38.02737,3.13390,0.75508,-38.40181,3.60495,0.75757,-38.31333,1.97906,0.75740
58,5900,-38.18374,2.89108,0.74774,-37.75778,3.43341,0.74706,-38.30043,1.82474,0.74792
59,6000,-38.02063,2.32161,0.73907,-38.11324,1.79515,0.73653,-38.30626,1.91462,0.73242
60,6100,-38.19148,1.95840,0.72128,-37.79973,4.24086,0.72081,-37.77481,1.84173,0.72431
61,6200,-37.63600,2.87115,0.71442,-37.62354,1.96305,0.71219,-37.51407,1.76073,0.71229
62,6300,-37.48608,2.64416,0.70386,-37.45234,3.11074,0.69928,-37.89151,2.75376,0.70024
63,6400,-37.35269,2.06901,0.68830,-37.35897,2.33835,0.68925,-37.68871,2.38297,0.68762
64,6500,-37.08390,2.48551,0.67447,-37.56633,4.37682,0.67814,-37.41921,2.24604,0.67469
65,6600,-37.25361,2.64819,0.66429,-37.49207,1.90799,0.66645,-37.41839,3.06078,0.66533
66,6700,-37.03537,2.56030,0.65279,-37.26134,1.66991,0.65239,-37.08034,4.13983,0.65289
67,6800,-36.95822,1.50530,0.64093,-37.21485,1.82136,0.63849,-36.46255,3.63213,0.64036
68,6900,-36.92001,1.80460,0.62764,-36.81563,1.72026,0.62775,-36.76473,1.43625,0.62928
69,7000,-36.80720,3.32819,0.61586,-36.48996,1.70379,0.61796,-36.84774,1.39847,0.61797
70,7100,-36.25058,2.10498,0.60720,-36.08621,1.79915,0.60835,-36.41528,1.56972,0.60790
71,7200,-36.07177,1.41645,0.59682,-35.69822,1.79926,0.59450,-35.86139,1.26632,0.59501
72,7300,-36.11283,1.59475,0.58929,-35.65429,1.92831,0.58299,-35.61592,1.23786,0.57891
73,7400,-35.75638,1.50595,0.56889,-35.73213,3.87917,0.57286,-35.43860,1.22546,0.57482
74,7500,-35.39468,1.49986,0.56341,-35.23384,3.97529,0.56079,-35.26041,1.14562,0.55965
75,7600,-34.99427,1.59686,0.55478,-35.11039,2.10718,0.55023,-34.98002,1.12443,0.55013
76,7700,-34.54719,1.53871,0.53943,-34.79163,1.65349,0.54324,-34.54988,1.21432,0.54352
77,7800,-34.32972,2.10335,0.53217,-34.71435,2.19224,0.53222,-34.31358,1.18911,0.53247
78,7900,-34.07948,4.56848,0.52418,-34.36920,1.37632,0.52500,-34.07277,1.16976,0.52467
79,8000,-33.88932,4.12000,0.51793,-34.49583,2.76057,0.51513,-33.77144,1.15500,0.51608
80,8100,-33.67388,2.79774,0.50874,-33.38705,4.37453,0.50656,-33.71301,1.77383,0.50627
81,8200,-33.60435,1.61814,0.49864,-33.76396,1.84465,0.49975,-33.25406,2.14860,0.49916
82,8300,-33.19949,1.44488,0.49521,-33.39395,1.98949,0.49257,-33.10340,1.90446,0.49232
83,8400,-32.83112,1.45255,0.48256,-33.24218,1.88543,0.48458,-32.55605,2.26072,0.48472
84,8500,-32.42563,1.43745,0.47339,-32.87002,1.84905,0.47735,-32.25862,2.34388,0.47339
85,8600,-32.01202,1.48978,0.46712,-32.77602,1.80614,0.46826,-32.24799,1.65376,0.46635
86,8700,-31.92939,1.22935,0.45991,-32.67192,2.09024,0.46405,-31.84466,2.02339,0.46231
87,8800,-31.46347,1.35343,0.45288,-32.50896,2.37459,0.45309,-31.47099,2.33160,0.45149
88,8900,-31.45245,2.01658,0.44306,-32.10377,2.20302,0.44286,-31.56194,3.29705,0.44452
89,9000,-30.91752,2.42288,0.43716,-31.67730,2.13937,0.43634,-31.20511,2.08892,0.43681
90,9100,-30.66093,1.50227,0.43193,-31.27337,2.13425,0.43125,-31.00292,1.47558,0.43120
91,9200,-30.31651,1.30954,0.42504,-30.87609,2.08043,0.42352,-30.73261,1.40501,0.42726
92,9300,-30.02612,1.32462,0.41687,-30.42021,2.16967,0.41880,-30.79225,1.57287,0.42161
93,9400,-29.64661,1.37583,0.41114,-30.26206,1.60520,0.41113,-30.42707,1.45546,0.40983
94,9500,-29.31129,1.38837,0.40594,-29.85536,1.17675,0.40421,-30.07300,1.41271,0.40657
95,9600,-29.19517,1.83394,0.40003,-29.67454,1.06953,0.39672,-29.70399,1.40150,0.40030
96,9700,-29.10117,1.57179,0.39359,-29.38578,1.07675,0.39476,-29.27091,1.38361,0.39070
97,9800,-28.67238,1.11290,0.38673,-29.19226,1.12395,0.38846,-28.95042,1.41753,0.38805
98,9900,-28.42320,1.04927,0.38104,-28.87773,1.09367,0.37924,-28.68098,1.33529,0.37890
99,10000,-28.05546,1.06274,0.37356,-28.74514,1.05264,0.37173,-28.35345,1.33621,0.37414
100,10100,-27.87577,1.00761,0.36541,-28.52774,1.00427,0.36536,-27.89547,1.42391,0.36777
101,10200,-27.65079,1.01790,0.36161,-28.30635,1.07904,0.35927,-27.67023,1.37658,0.36229
102,10300,-27.42029,0.97847,0.35459,-28.08215,1.03805,0.35747,-27.38003,1.36470,0.35509
103,10400,-27.23608,1.06381,0.34719,-27.81753,1.07303,0.35358,-27.17758,1.33274,0.35131
104,10500,-26.97847,1.01955,0.34619,-27.60053,1.01650,0.34527,-26.96115,1.25611,0.34546
105,10600,-26.74219,1.02056,0.33889,-27.46413,1.12714,0.33986,-26.70135,1.28452,0.33826
106,10700,-26.50488,1.00757,0.33501,-27.04638,1.07118,0.33507,-26.33575,1.21072,0.33148
107,10800,-26.31356,1.05209,0.33057,-26.90017,1.09466,0.32751,-26.08592,1.23433,0.32965
