number,rewards,variances,exploration_value
0,[-17.26485 -17.26485 -17.26485],[29.28729 29.28729 29.28729],0.3
100,[-12.91232 -12.91232 -12.91232],[3.20517 3.20517 3.20517],0.2988
200,[-9.29956 -9.29956 -9.29956],[2.88425 2.88425 2.88425],0.2976
300,[-10.21236 -10.21236 -10.21236],[3.47888 3.47888 3.47888],0.2964
400,[-10.20423 -10.20423 -10.20423],[11.59196 11.59196 11.59196],0.29519999999999996
500,[-9.79464 -9.79464 -9.79464],[0.49644 0.49644 0.49644],0.294
600,[-12.91450 -12.91450 -12.91450],[3.75578 3.75578 3.75578],0.2928
700,[-10.89426 -10.89426 -10.89426],[8.54370 8.54370 8.54370],0.29159999999999997
800,[-13.03242 -13.03242 -13.03242],[11.01770 11.01770 11.01770],0.2904
900,[-12.71675 -12.71675 -12.71675],[1.12701 1.12701 1.12701],0.28919999999999996
1000,[-13.17179 -13.17179 -13.17179],[11.54594 11.54594 11.54594],0.288
1100,[-14.03673 -14.03673 -14.03673],[13.99803 13.99803 13.99803],0.2868
1200,[-9.18857 -9.18857 -9.18857],[5.03969 5.03969 5.03969],0.28559999999999997
1300,[-8.75146 -8.75146 -8.75146],[7.17640 7.17640 7.17640],0.2844
1400,[-8.44151 -8.44151 -8.44151],[1.19156 1.19156 1.19156],0.28319999999999995
1500,[-12.24396 -12.24396 -12.24396],[9.48015 9.48015 9.48015],0.282
1600,[-11.64092 -11.64092 -11.64092],[21.21999 21.21999 21.21999],0.2808
1700,[-9.65580 -9.65580 -9.65580],[3.35722 3.35722 3.35722],0.2796
1800,[-10.53808 -10.53808 -10.53808],[4.93294 4.93294 4.93294],0.2784
1900,[-12.29929 -12.29929 -12.29929],[1.29586 1.29586 1.29586],0.2772
2000,[-10.97975 -10.97975 -10.97975],[12.40971 12.40971 12.40971],0.276
2100,[-11.86139 -11.86139 -11.86139],[5.30367 5.30367 5.30367],0.2748
2200,[-11.20186 -11.20186 -11.20186],[4.68202 4.68202 4.68202],0.2736
2300,[-12.77207 -12.77207 -12.77207],[4.88393 4.88393 4.88393],0.2724
2400,[-13.20161 -13.20161 -13.20161],[11.03334 11.03334 11.03334],0.2712
2500,[-10.00994 -10.00994 -10.00994],[5.20461 5.20461 5.20461],0.27
2600,[-9.93200 -9.93200 -9.93200],[2.28414 2.28414 2.28414],0.2688
2700,[-11.76027 -11.76027 -11.76027],[5.12734 5.12734 5.12734],0.2676
2800,[-14.56630 -14.56630 -14.56630],[4.29872 4.29872 4.29872],0.26639999999999997
2900,[-10.93903 -10.93903 -10.93903],[2.47930 2.47930 2.47930],0.2652
3000,[-13.48124 -13.48124 -13.48124],[9.28616 9.28616 9.28616],0.264
3100,[-13.52943 -13.52943 -13.52943],[3.53201 3.53201 3.53201],0.2628
3200,[-11.57185 -11.57185 -11.57185],[7.23298 7.23298 7.23298],0.2616
3300,[-13.97278 -13.97278 -13.97278],[23.86780 23.86780 23.86780],0.26039999999999996
3400,[-11.94123 -11.94123 -11.94123],[13.76346 13.76346 13.76346],0.2592
3500,[-12.19830 -12.19830 -12.19830],[2.06835 2.06835 2.06835],0.258
3600,[-12.42749 -12.42749 -12.42749],[8.27310 8.27310 8.27310],0.2568
3700,[-10.91553 -10.91553 -10.91553],[5.39404 5.39404 5.39404],0.2556
3800,[-11.46176 -11.46176 -11.46176],[13.09229 13.09229 13.09229],0.25439999999999996
3900,[-12.38712 -12.38712 -12.38712],[6.84393 6.84393 6.84393],0.2532
4000,[-13.34495 -13.34495 -13.34495],[1.32053 1.32053 1.32053],0.252
4100,[-11.24257 -11.24257 -11.24257],[3.88056 3.88056 3.88056],0.25079999999999997
4200,[-13.16809 -13.16809 -13.16809],[3.53348 3.53348 3.53348],0.2496
4300,[-15.38722 -15.38722 -15.38722],[5.59208 5.59208 5.59208],0.24839999999999998
4400,[-11.21646 -11.21646 -11.21646],[1.41363 1.41363 1.41363],0.24719999999999998
4500,[-13.26475 -13.26475 -13.26475],[13.38273 13.38273 13.38273],0.24599999999999997
