iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,1_rnd_forward_loss,2_maddpg_actor_loss,2_maddpg_critic_loss,2_rnd_forward_loss,3_maddpg_actor_loss,3_maddpg_critic_loss,3_rnd_forward_loss
0,100,-9.70324,20.24404,1.89957,-8.03072,16.08584,1.59020,-8.28464,17.00467,1.71159
1,200,-11.69298,3.32248,2.05123,-9.38660,1.88765,1.61993,-10.70918,2.97186,1.86811
2,300,-11.93610,1.75198,1.90688,-10.27839,1.51852,1.62071,-11.35657,1.53906,1.78372
3,400,-12.66956,2.37815,1.83795,-11.65693,1.39614,1.69867,-12.20460,1.61504,1.76880
4,500,-13.62206,2.03153,1.76506,-12.81771,1.53274,1.71266,-13.14933,1.61947,1.71219
5,600,-14.76237,2.33184,1.75041,-14.11558,1.62625,1.74159,-14.24490,1.90142,1.71309
6,700,-16.02772,1.91581,1.76084,-15.87721,2.05971,1.80499,-15.49958,2.06035,1.70578
7,800,-17.15289,2.28632,1.74585,-17.24786,3.30418,1.82904,-16.74036,1.85311,1.72097
8,900,-18.62601,2.09461,1.75363,-18.61301,2.49984,1.84522,-18.28442,1.63732,1.74687
9,1000,-20.01115,1.95303,1.76230,-20.00205,2.28563,1.85202,-19.41370,2.18396,1.73585
10,1100,-21.22499,2.71398,1.78926,-21.54708,1.85385,1.88576,-20.98155,2.67667,1.75600
11,1200,-23.38724,3.65086,1.82827,-23.50439,3.11965,1.94846,-22.54794,3.63953,1.80231
12,1300,-24.34666,2.88306,1.83953,-24.83312,4.90453,1.95830,-24.07656,5.77796,1.80423
13,1400,-25.69735,2.16861,1.84397,-26.39429,3.79028,1.93634,-25.38455,3.40351,1.78288
14,1500,-27.33468,2.85364,1.79971,-27.65040,3.64226,1.90704,-26.61563,2.90326,1.75812
15,1600,-28.41908,1.44732,1.79002,-28.78314,2.62821,1.88613,-27.71918,1.93198,1.74259
16,1700,-29.53010,2.47867,1.77330,-30.33354,4.15830,1.85596,-28.99473,3.22291,1.74623
17,1800,-31.03335,2.08101,1.76204,-30.98344,3.89970,1.81461,-30.21761,2.11147,1.72306
18,1900,-32.09434,2.32899,1.74659,-32.75990,6.33696,1.81051,-31.53039,2.90114,1.71032
19,2000,-33.87000,3.48660,1.77175,-34.12666,4.54139,1.79684,-32.94043,2.29784,1.70408
20,2100,-35.16015,1.59142,1.77546,-34.96807,3.21371,1.79096,-33.99430,2.22714,1.68915
21,2200,-36.41759,2.96329,1.80134,-36.53171,3.69510,1.81100,-34.95088,2.24259,1.68713
22,2300,-38.04526,6.99418,1.80931,-37.83769,2.92126,1.80184,-36.55516,3.02051,1.67153
23,2400,-39.30932,2.60397,1.81269,-38.85867,4.86323,1.80053,-37.04805,4.61723,1.65381
24,2500,-40.14180,3.01370,1.81475,-39.78509,7.59993,1.80300,-38.17783,3.41949,1.65104
25,2600,-41.24750,2.20768,1.81490,-40.48742,10.57902,1.78272,-39.25457,4.28544,1.63874
26,2700,-42.72321,3.21461,1.82139,-42.20162,3.83911,1.78180,-40.22197,2.78663,1.63003
27,2800,-43.97165,1.58663,1.83498,-42.99676,2.78435,1.76908,-40.87988,2.76529,1.62770
28,2900,-44.98260,3.94988,1.85564,-44.31055,3.29034,1.77381,-42.15171,3.35933,1.62498
29,3000,-47.35258,7.37601,1.87203,-44.96162,5.19754,1.76871,-43.20697,3.99750,1.64066
30,3100,-47.47859,2.75220,1.86966,-46.10491,1.85424,1.74770,-44.11989,5.72182,1.62562
31,3200,-48.63791,2.93856,1.87958,-46.67733,3.14947,1.73908,-45.18181,7.12223,1.62255
32,3300,-50.12916,5.73988,1.87750,-47.87567,5.88739,1.73360,-45.56816,3.23630,1.61697
33,3400,-50.82552,6.88563,1.86848,-48.46056,11.67976,1.72303,-46.40040,2.57849,1.61238
34,3500,-52.59585,9.25439,1.86306,-49.80473,8.55181,1.71518,-46.94379,8.51627,1.59758
35,3600,-53.04159,6.46663,1.85781,-50.72298,6.54665,1.69798,-48.48264,6.02852,1.58527
36,3700,-53.76043,4.66248,1.84858,-50.51176,4.67432,1.68612,-48.07958,4.60964,1.57787
37,3800,-54.41460,4.10353,1.86495,-51.69848,6.84319,1.67952,-49.22869,7.93056,1.58088
38,3900,-55.34260,5.66571,1.84378,-52.25342,5.12140,1.66295,-49.89750,5.50187,1.56808
39,4000,-56.01145,3.78101,1.84355,-53.01821,2.99125,1.64727,-50.34587,7.69052,1.56145
40,4100,-57.15854,4.27327,1.82392,-53.39019,2.41944,1.63644,-51.15698,3.30483,1.55052
41,4200,-57.24536,6.37747,1.80265,-54.12122,3.06116,1.61988,-51.89830,4.84481,1.54263
42,4300,-58.42189,5.20263,1.81700,-54.82976,1.79509,1.60310,-51.77948,7.71480,1.53873
43,4400,-59.24358,9.60685,1.78348,-54.99651,1.72813,1.60342,-52.87539,2.32809,1.53041
44,4500,-60.26308,3.84488,1.77972,-55.70752,3.71636,1.58678,-53.14145,2.06135,1.52067
45,4600,-60.59278,3.34790,1.77224,-56.76360,8.59012,1.56619,-53.67784,4.02433,1.51638
46,4700,-61.60339,5.89016,1.75920,-57.51249,3.38231,1.55606,-54.19322,6.65980,1.50355
47,4800,-61.29439,10.80425,1.75426,-57.01148,2.73292,1.54935,-54.85434,6.46855,1.50168
48,4900,-62.59305,6.25288,1.74919,-57.81307,4.57940,1.53970,-55.17071,3.13295,1.49852
49,5000,-62.69117,5.61812,1.74228,-57.91757,7.37836,1.52129,-55.65718,4.62716,1.49538
50,5100,-62.86524,6.15528,1.72398,-58.79565,6.02291,1.50904,-56.13339,7.07501,1.48791
51,5200,-64.47345,8.78345,1.71546,-58.47133,5.15191,1.50219,-56.71870,5.57492,1.47521
52,5300,-64.89142,3.47110,1.70741,-58.69944,5.10292,1.47801,-56.63524,3.03934,1.46616
53,5400,-64.34299,3.12476,1.68307,-59.69355,8.24255,1.47632,-56.76634,3.00124,1.45661
54,5500,-65.11452,3.02997,1.67524,-60.10233,2.70551,1.46649,-56.96049,8.53296,1.44752
55,5600,-65.09296,3.06329,1.66796,-60.10032,2.81009,1.45087,-57.91849,3.95553,1.43361
56,5700,-66.26109,4.79951,1.64221,-59.99281,2.63335,1.44528,-57.94392,4.08212,1.43063
57,5800,-66.57345,5.53933,1.63129,-60.16750,2.78678,1.43573,-58.77207,6.65680,1.42548
58,5900,-66.84517,5.58905,1.61864,-60.42927,2.44519,1.41818,-58.14900,5.64441,1.40442
59,6000,-67.13994,4.82016,1.61959,-60.51985,3.03871,1.41804,-58.87095,3.31403,1.39573
60,6100,-67.72082,5.75405,1.60231,-61.42557,3.83657,1.40416,-58.37869,8.15062,1.38534
61,6200,-66.79925,6.20284,1.57925,-61.14030,3.56473,1.39994,-58.86971,8.12442,1.37444
62,6300,-67.83853,9.75889,1.57363,-61.32685,2.58140,1.39091,-58.63085,6.16648,1.37413
63,6400,-67.91929,3.03414,1.55663,-61.49704,5.65882,1.37923,-59.23116,3.88644,1.36592
64,6500,-68.58477,3.27160,1.54739,-61.08571,5.75767,1.36948,-59.48454,2.07423,1.36188
65,6600,-68.44138,3.13350,1.53338,-61.81414,2.62239,1.36111,-59.83278,1.62090,1.35299
66,6700,-67.76325,3.09396,1.52112,-61.75333,3.10188,1.35224,-59.59624,1.54828,1.34497
67,6800,-68.20662,2.37544,1.50533,-61.90653,2.47603,1.34616,-59.54934,3.78651,1.33757
68,6900,-68.46024,2.64180,1.50217,-61.61182,2.42012,1.33150,-59.51470,4.67120,1.33927
69,7000,-68.41362,2.66516,1.48840,-61.68157,1.96116,1.33490,-59.86959,4.31057,1.32104
70,7100,-68.48275,3.77660,1.48303,-61.57960,2.23799,1.32725,-60.35029,1.93452,1.32065
71,7200,-68.75322,3.03244,1.47391,-61.56910,1.81095,1.31465,-60.15896,1.53881,1.31283
72,7300,-68.93831,5.81573,1.46539,-61.64099,2.69567,1.31073,-59.91565,1.57440,1.30180
73,7400,-68.99950,4.08515,1.44575,-62.66528,5.62492,1.29769,-60.39229,3.49867,1.30403
74,7500,-69.16409,5.28428,1.43242,-62.16975,5.53926,1.28974,-60.22072,2.46505,1.28636
75,7600,-69.44734,6.02090,1.42780,-61.47062,4.21246,1.27844,-59.93430,1.66470,1.28302
76,7700,-68.48344,5.84275,1.41938,-61.87680,3.24631,1.27571,-60.45196,3.49667,1.27984
77,7800,-68.85156,4.79533,1.41022,-61.61338,5.28308,1.27303,-60.41780,2.49938,1.27386
78,7900,-68.85585,4.01606,1.40380,-62.10117,7.34958,1.26816,-60.03846,4.50760,1.26492
79,8000,-68.46274,3.77011,1.39221,-61.99399,2.17082,1.25737,-60.28062,3.99686,1.25684
80,8100,-68.31268,6.09748,1.38061,-61.99979,2.44758,1.24624,-60.57490,7.32743,1.24368
81,8200,-69.22233,6.54838,1.37271,-62.53548,2.72892,1.23861,-60.73943,2.78253,1.24343
82,8300,-68.92925,2.79116,1.37142,-62.08681,2.39852,1.23223,-59.88939,2.82872,1.23886
83,8400,-68.82649,2.63725,1.35450,-61.46941,2.52805,1.22342,-60.15483,2.36498,1.23372
