iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,1_icm_forward_loss,1_icm_inverse_loss,2_maddpg_actor_loss,2_maddpg_critic_loss,2_icm_forward_loss,2_icm_inverse_loss,3_maddpg_actor_loss,3_maddpg_critic_loss,3_icm_forward_loss,3_icm_inverse_loss,4_maddpg_actor_loss,4_maddpg_critic_loss,4_icm_forward_loss,4_icm_inverse_loss
0,100,-3.35780,2.14780,0.61489,2.96808,-3.32266,1.89823,0.61484,2.96759,-3.34928,2.30328,0.61454,2.96781,-3.30947,2.10448,0.61355,2.96786
1,200,-3.87384,1.10298,0.63017,2.96777,-3.89508,1.07444,0.62687,2.96690,-3.93293,1.04282,0.62903,2.96775,-3.76494,1.16119,0.62756,2.96753
2,300,-4.35040,1.11612,0.62074,2.96506,-4.30868,1.35078,0.61895,2.96447,-4.28347,0.81682,0.62058,2.96487,-4.19787,1.16673,0.62278,2.96451
3,400,-4.63448,1.24427,0.59665,2.96511,-4.67048,0.85125,0.59624,2.96479,-4.59687,1.48319,0.59682,2.96540,-4.54944,1.03801,0.59676,2.96455
4,500,-5.06610,1.27154,0.57337,2.96449,-4.99563,0.75357,0.57354,2.96396,-4.93871,1.25237,0.57235,2.96468,-4.93358,1.14744,0.57266,2.96454
5,600,-5.36567,1.18483,0.54134,2.96214,-5.28283,1.35276,0.54194,2.96208,-5.19429,1.34360,0.53942,2.96148,-5.23983,0.99754,0.54005,2.96227
6,700,-5.54091,1.34409,0.51341,2.95831,-5.58840,1.06513,0.51345,2.95753,-5.50800,1.14548,0.51390,2.95773,-5.50467,0.92503,0.51443,2.95769
7,800,-5.96569,1.05532,0.49059,2.95489,-5.91857,1.29684,0.49149,2.95428,-5.88449,1.09691,0.48923,2.95429,-5.74112,1.04407,0.48870,2.95382
8,900,-6.25554,0.96638,0.46820,2.95178,-6.23298,0.94194,0.46806,2.95064,-6.22954,1.16432,0.46869,2.95094,-6.01182,1.06380,0.46837,2.95174
9,1000,-6.52526,1.17722,0.45177,2.94783,-6.50289,1.03704,0.44995,2.94855,-6.56733,1.10827,0.44960,2.94824,-6.29365,1.04830,0.45164,2.94827
10,1100,-6.78440,1.72103,0.43204,2.94500,-6.78923,1.12384,0.43373,2.94510,-6.84395,0.91293,0.43157,2.94503,-6.53928,1.18727,0.43110,2.94552
11,1200,-7.06131,1.65694,0.41299,2.94311,-6.98385,1.26717,0.41270,2.94373,-7.18006,1.68006,0.41181,2.94343,-6.70543,0.99767,0.41178,2.94349
12,1300,-7.17888,1.29746,0.39483,2.94105,-7.27772,1.21624,0.39322,2.94050,-7.34942,2.01308,0.39467,2.94092,-7.02357,1.29296,0.39350,2.94169
13,1400,-7.52740,1.31489,0.37719,2.93726,-7.35829,1.12847,0.37664,2.93763,-7.51257,1.45824,0.37681,2.93685,-7.03915,1.18425,0.37547,2.93641
14,1500,-7.69261,1.28677,0.36024,2.93280,-7.59978,1.01006,0.36004,2.93264,-7.61923,1.63235,0.35941,2.93340,-7.20267,1.13051,0.36007,2.93311
15,1600,-7.78378,0.84917,0.34379,2.92895,-7.79529,1.29997,0.34257,2.92950,-7.79815,1.29816,0.34350,2.92916,-7.33322,1.16957,0.34327,2.92940
16,1700,-7.95734,1.63116,0.32964,2.92585,-7.90460,1.07221,0.32834,2.92592,-7.97396,1.03173,0.32760,2.92568,-7.48053,1.16582,0.32728,2.92514
