iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,2_maddpg_actor_loss,2_maddpg_critic_loss,3_maddpg_actor_loss,3_maddpg_critic_loss,4_maddpg_actor_loss,4_maddpg_critic_loss
0,100,-0.04099,0.87185,-0.05310,0.96912,-0.05836,0.88817,0.12203,0.71180
1,200,-0.02441,0.68806,-0.04100,0.58543,-0.04450,0.53161,0.02428,0.36256
2,300,-0.07228,0.64008,-0.21045,0.63624,-0.08469,0.69751,0.03424,0.32197
3,400,-0.03492,0.68649,-0.12549,0.69005,-0.01236,0.70353,0.02258,0.23477
4,500,-0.04511,0.64677,-0.20336,0.87421,-0.01839,0.73963,-0.02072,0.23105
5,600,-0.02562,0.76649,-0.08953,0.91189,0.02892,0.76523,-0.04722,0.23261
6,700,-0.04204,0.86373,-0.13181,0.92836,0.04439,0.83644,-0.08175,0.26627
7,800,-0.07881,0.86108,-0.13348,0.85934,0.04344,0.85554,-0.10771,0.27666
8,900,-0.06484,0.88141,-0.13023,0.97349,0.04419,0.86047,-0.13572,0.29204
9,1000,-0.05886,0.83420,-0.07335,0.90815,0.04580,0.86815,-0.19911,0.31605
10,1100,-0.03188,0.87783,-0.05499,0.86376,0.06203,0.80855,-0.23191,0.33132
11,1200,-0.02964,0.83074,-0.08811,0.90648,0.05828,0.91842,-0.24136,0.36122
12,1300,-0.05357,0.95275,-0.09173,0.93303,0.02969,0.87255,-0.26958,0.38230
13,1400,-0.06475,0.87104,-0.07283,0.85536,0.01088,0.77971,-0.29365,0.40227
14,1500,-0.07315,0.84870,-0.09715,0.84136,-0.02993,0.88404,-0.34676,0.38305
15,1600,-0.04251,0.81934,-0.12555,0.86961,-0.02848,0.84958,-0.37309,0.42106
16,1700,-0.09985,0.97296,-0.16628,0.88458,-0.10695,0.85381,-0.44651,0.41458
17,1800,-0.14494,0.86315,-0.19321,0.99937,-0.14014,1.02105,-0.45381,0.42721
18,1900,-0.19363,0.77967,-0.20053,0.85835,-0.14752,0.95371,-0.47853,0.47659
19,2000,-0.24558,0.94122,-0.26039,1.01984,-0.21357,1.03137,-0.49143,0.48614
20,2100,-0.31259,1.02804,-0.33111,1.04487,-0.27320,1.12289,-0.55076,0.47414
21,2200,-0.31144,0.94776,-0.31452,1.10269,-0.24728,1.10330,-0.52742,0.48835
22,2300,-0.38016,1.05714,-0.34666,1.11784,-0.29280,1.03368,-0.56416,0.52597
23,2400,-0.38489,1.09023,-0.38802,1.21954,-0.28176,1.03512,-0.58982,0.50114
24,2500,-0.37393,1.05659,-0.44000,1.14815,-0.26039,1.03487,-0.64424,0.54856
25,2600,-0.42282,1.12560,-0.46971,1.12206,-0.31773,0.97627,-0.63426,0.55831
26,2700,-0.41252,1.06137,-0.46255,1.11763,-0.32030,0.97205,-0.69673,0.58689
27,2800,-0.39706,0.95892,-0.49154,1.18420,-0.29761,0.91608,-0.72478,0.55687
28,2900,-0.44077,1.06150,-0.53821,1.11024,-0.33423,0.99780,-0.77655,0.53564
29,3000,-0.42256,1.06377,-0.58963,1.16092,-0.34496,1.00142,-0.79608,0.61312
30,3100,-0.47292,0.92010,-0.63149,1.07715,-0.35934,1.05997,-0.82194,0.56872
31,3200,-0.44504,0.94721,-0.59832,1.11193,-0.36048,1.06090,-0.87658,0.54958
32,3300,-0.45892,0.95923,-0.65022,1.15045,-0.35505,0.92430,-0.89705,0.63094
33,3400,-0.48550,1.06470,-0.69099,1.14737,-0.36996,0.98778,-0.93129,0.65006
34,3500,-0.47493,0.98355,-0.67269,1.08452,-0.36380,0.91347,-0.94904,0.62451
35,3600,-0.47624,0.97146,-0.65167,1.11575,-0.40852,0.95723,-1.02382,0.58832
36,3700,-0.47696,0.98941,-0.62954,0.95500,-0.42511,1.05017,-1.02671,0.60024
37,3800,-0.49629,1.02310,-0.65357,1.06262,-0.41570,0.93977,-1.00302,0.67673
38,3900,-0.51667,0.93584,-0.68068,1.09790,-0.44923,0.99417,-1.05481,0.67239
39,4000,-0.53570,0.96605,-0.69052,1.08689,-0.44786,1.05437,-1.10417,0.70343
40,4100,-0.51383,1.01593,-0.69141,1.03088,-0.48477,0.95867,-1.17314,0.64431
41,4200,-0.53191,0.97942,-0.70654,1.01050,-0.52404,1.00100,-1.17129,0.72368
42,4300,-0.53176,1.02118,-0.73224,0.95241,-0.52254,1.01441,-1.15432,0.75078
43,4400,-0.55472,0.99755,-0.74476,1.04467,-0.54959,1.10701,-1.19362,0.71496
44,4500,-0.53868,0.99126,-0.79159,1.11324,-0.55826,1.05492,-1.23950,0.68424
45,4600,-0.55638,0.98591,-0.78822,1.03883,-0.56882,1.04721,-1.26520,0.69490
46,4700,-0.56455,0.95708,-0.83870,1.05030,-0.55909,1.03370,-1.27477,0.69448
47,4800,-0.58710,1.07421,-0.83330,1.05275,-0.61805,1.04857,-1.27555,0.73244
48,4900,-0.56409,0.89579,-0.87114,1.09757,-0.60536,1.02586,-1.28043,0.71983
49,5000,-0.56193,1.05294,-0.85238,1.06393,-0.65682,1.09093,-1.30049,0.74703
50,5100,-0.58884,1.08712,-0.86117,1.06895,-0.67096,1.19707,-1.32573,0.70769
51,5200,-0.57046,0.99547,-0.88576,1.06110,-0.63988,1.10939,-1.31902,0.75000
52,5300,-0.58299,1.13082,-0.87829,1.08400,-0.66830,1.11263,-1.32246,0.76440
53,5400,-0.56020,0.97841,-0.89710,1.08748,-0.66984,1.03244,-1.37876,0.74352
54,5500,-0.57873,0.91317,-0.91841,1.08545,-0.67293,1.05317,-1.37441,0.76614
55,5600,-0.55430,0.94204,-0.91053,1.08216,-0.65720,1.03711,-1.35481,0.84161
56,5700,-0.57777,0.99627,-0.92984,1.18465,-0.69608,1.11135,-1.35919,0.82033
57,5800,-0.59593,1.06218,-0.93966,1.02384,-0.69120,1.05874,-1.37539,0.73647
58,5900,-0.57582,0.97506,-0.96600,1.07586,-0.69791,1.04643,-1.36509,0.76676
59,6000,-0.57863,0.99337,-0.93952,1.00672,-0.75820,1.09789,-1.38436,0.79777
60,6100,-0.57622,1.03678,-0.98278,1.06033,-0.76963,1.06410,-1.36783,0.82749
61,6200,-0.55890,0.94416,-0.99365,1.11305,-0.79489,1.07361,-1.43037,0.83827
62,6300,-0.60597,1.08082,-1.00893,1.06841,-0.84005,1.10101,-1.41218,0.81018
63,6400,-0.57412,1.01104,-1.03993,1.12586,-0.86064,1.07184,-1.41927,0.81892
64,6500,-0.57964,1.01211,-1.00569,1.13358,-0.88327,1.07204,-1.43405,0.80796
65,6600,-0.62119,1.05319,-1.05391,1.10265,-0.92820,1.07514,-1.41639,0.88606
66,6700,-0.62251,1.04290,-1.08720,1.10360,-0.92151,1.03135,-1.40756,0.84726
67,6800,-0.61303,1.00798,-1.10450,1.05722,-1.01823,1.14713,-1.43266,0.80893
68,6900,-0.62283,1.07323,-1.13473,1.15153,-1.03087,1.14930,-1.41832,0.83731
69,7000,-0.62293,0.97332,-1.13516,1.07934,-1.05601,1.13638,-1.41543,0.87688
70,7100,-0.63263,1.09285,-1.15807,1.12310,-1.03724,1.14425,-1.43053,0.86316
71,7200,-0.62075,1.05701,-1.14343,1.09419,-1.05502,1.07752,-1.45560,0.78693
72,7300,-0.67909,1.06415,-1.19141,1.15086,-1.07379,1.10471,-1.45018,0.83278
73,7400,-0.62938,1.00519,-1.20415,1.06475,-1.10592,1.11479,-1.45354,0.75063
74,7500,-0.65120,1.04291,-1.20058,1.09320,-1.08079,1.09526,-1.44964,0.87975
75,7600,-0.68430,1.00617,-1.20349,1.09164,-1.09496,1.11426,-1.45167,0.83969
76,7700,-0.64752,0.96991,-1.19160,1.11201,-1.10703,1.12685,-1.46011,0.86612
77,7800,-0.68137,0.96741,-1.20999,1.11583,-1.12146,1.20536,-1.41707,0.89022
78,7900,-0.67599,0.98317,-1.22460,1.25294,-1.09168,1.08139,-1.44222,0.88033
79,8000,-0.66846,1.00202,-1.20654,1.12236,-1.08957,1.07957,-1.45068,0.85280
80,8100,-0.69887,1.02011,-1.22208,1.15929,-1.05353,1.07935,-1.40429,0.85037
81,8200,-0.73209,1.05684,-1.25385,1.16131,-1.10121,1.14095,-1.43892,0.86926
82,8300,-0.71895,1.02920,-1.22138,1.11442,-1.08769,1.14349,-1.41823,0.90473
83,8400,-0.72988,1.04865,-1.23388,1.10248,-1.09118,1.14377,-1.43020,0.82784
84,8500,-0.70762,0.99591,-1.21563,1.15713,-1.11332,1.15443,-1.43829,0.86775
85,8600,-0.69804,1.05513,-1.21827,1.17620,-1.06513,1.13329,-1.42344,0.87741
86,8700,-0.68119,1.07712,-1.20204,1.08656,-1.09188,1.18325,-1.42891,0.85716
87,8800,-0.66710,1.00788,-1.16703,1.08128,-1.10790,1.22671,-1.40406,0.93151
88,8900,-0.67141,1.04375,-1.17462,1.17124,-1.08250,1.18701,-1.45194,0.83106
89,9000,-0.68811,1.09183,-1.21379,1.19943,-1.04113,1.15401,-1.46008,0.84252
90,9100,-0.65233,1.04631,-1.18177,1.15783,-1.06479,1.17227,-1.42288,0.84009
91,9200,-0.68831,1.01127,-1.21728,1.20222,-1.06316,1.14163,-1.43955,0.81131
92,9300,-0.66010,1.04011,-1.18821,1.16496,-1.07608,1.19475,-1.44063,0.87825
93,9400,-0.64813,0.99358,-1.17400,1.13208,-1.06875,1.21360,-1.42701,0.87676
94,9500,-0.60558,1.10408,-1.19167,1.24564,-1.04584,1.11174,-1.42313,0.88172
95,9600,-0.63745,1.12080,-1.18119,1.10352,-1.02268,1.13322,-1.42347,0.84125
96,9700,-0.60458,0.96578,-1.18069,1.15617,-1.04699,1.11115,-1.44299,0.89501
97,9800,-0.60237,1.07484,-1.19429,1.17858,-1.06134,1.13195,-1.44127,0.85025
98,9900,-0.60788,1.07184,-1.22452,1.22809,-1.06824,1.14732,-1.42923,0.88714
99,10000,-0.61898,1.04643,-1.13615,1.16312,-1.04851,1.15325,-1.40295,0.89064
100,10100,-0.61082,1.05840,-1.18983,1.16232,-1.01640,1.04572,-1.44781,0.91201
101,10200,-0.59600,1.05100,-1.20516,1.15871,-1.04590,1.10834,-1.43305,0.89216
102,10300,-0.60097,1.08556,-1.19073,1.13633,-1.04081,1.10301,-1.44264,0.86943
103,10400,-0.63185,1.08580,-1.17107,1.21710,-1.04405,1.21326,-1.44214,0.86368
104,10500,-0.62570,1.03214,-1.21527,1.14692,-1.04364,1.11928,-1.41354,0.93342
105,10600,-0.62789,1.08134,-1.23343,1.16920,-1.06511,1.10666,-1.39529,0.89260
106,10700,-0.62611,1.11339,-1.26727,1.23090,-1.05464,1.17150,-1.38389,0.86787
107,10800,-0.63251,1.00343,-1.21459,1.12085,-1.05451,1.19400,-1.39821,0.90889
108,10900,-0.60701,1.03943,-1.24277,1.20488,-1.05701,1.12142,-1.36683,0.93506
109,11000,-0.62298,1.16517,-1.25545,1.21969,-1.06006,1.13516,-1.40781,0.89058
110,11100,-0.63586,1.07174,-1.26587,1.17057,-1.07849,1.17380,-1.39544,0.91031
111,11200,-0.66361,1.07710,-1.27188,1.13494,-1.06668,1.15583,-1.31724,0.94834
112,11300,-0.66542,1.03216,-1.26338,1.22841,-1.07469,1.17397,-1.32437,0.99951
113,11400,-0.65940,1.16466,-1.26497,1.17348,-1.03139,1.15114,-1.35959,0.93142
114,11500,-0.65987,1.05958,-1.24379,1.12750,-1.06071,1.25050,-1.33177,0.92272
115,11600,-0.67554,1.12291,-1.23704,1.20089,-1.03435,1.13966,-1.31378,0.95984
116,11700,-0.63110,1.05750,-1.23826,1.18824,-1.03489,1.10487,-1.29694,0.95076
117,11800,-0.69111,1.15546,-1.25376,1.16226,-1.05046,1.21039,-1.23950,1.01435
118,11900,-0.72010,1.09152,-1.27928,1.17827,-1.06327,1.14447,-1.30142,0.91359
119,12000,-0.72177,1.19368,-1.27014,1.16475,-1.05636,1.12763,-1.25350,1.00043
120,12100,-0.74068,1.18732,-1.26182,1.15373,-1.09414,1.26723,-1.24834,1.00690
121,12200,-0.72704,1.19980,-1.27707,1.19551,-1.05470,1.24393,-1.22519,1.01184
122,12300,-0.68688,1.12000,-1.26978,1.18292,-1.01922,1.21315,-1.28528,0.98990
123,12400,-0.72004,1.17634,-1.28244,1.16459,-1.04566,1.21899,-1.25064,1.03793
124,12500,-0.73736,1.13757,-1.30359,1.21545,-1.06364,1.22128,-1.20522,0.98950
125,12600,-0.71667,1.07694,-1.25314,1.11710,-1.03563,1.23702,-1.19580,1.02961
126,12700,-0.71815,1.15917,-1.23880,1.10164,-1.01829,1.14147,-1.18442,1.07431
127,12800,-0.71267,1.18391,-1.26132,1.19398,-1.00121,1.15643,-1.18702,0.97150
128,12900,-0.74195,1.24879,-1.23743,1.08291,-1.03261,1.15904,-1.17641,1.01760
129,13000,-0.70837,1.12625,-1.22017,1.12021,-1.02647,1.13891,-1.18476,0.96825
