iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,1_rnd_forward_loss,2_maddpg_actor_loss,2_maddpg_critic_loss,2_rnd_forward_loss,3_maddpg_actor_loss,3_maddpg_critic_loss,3_rnd_forward_loss,4_maddpg_actor_loss,4_maddpg_critic_loss,4_rnd_forward_loss
0,100,-9.37508,24.21809,1.58849,-9.27601,23.61620,1.58858,-9.36339,24.65574,1.58292,-9.12549,23.31896,1.58120
1,200,-9.39319,2.14106,1.59444,-9.42565,2.29655,1.58826,-9.44528,2.10866,1.59206,-9.30987,2.70606,1.59227
2,300,-10.00920,1.23226,1.52922,-10.13259,1.85927,1.52411,-10.08099,1.37262,1.52498,-9.97544,1.65020,1.53301
3,400,-11.01853,1.44756,1.50702,-11.07654,1.45139,1.50609,-11.05640,1.44526,1.51030,-10.82733,1.45998,1.50236
4,500,-11.78022,1.84474,1.46376,-11.70711,1.69393,1.46631,-11.76068,1.82847,1.46660,-11.85152,1.71781,1.47221
5,600,-12.88067,1.91154,1.46418,-12.96487,2.17883,1.46276,-12.99622,1.76897,1.46085,-12.89027,1.44930,1.46248
6,700,-14.11644,2.12036,1.43638,-13.99379,2.02860,1.43122,-14.18594,2.28914,1.43270,-13.84854,1.58976,1.42720
7,800,-15.11762,1.82846,1.40483,-15.01617,1.64529,1.40215,-15.04142,2.05562,1.40545,-14.80175,1.94113,1.39986
8,900,-16.09500,2.02268,1.37182,-15.93859,1.62963,1.37477,-16.07902,2.12396,1.37715,-15.63912,1.75058,1.37322
9,1000,-17.19877,3.11813,1.35567,-16.90182,2.09781,1.35465,-16.95548,2.05636,1.35789,-16.79183,2.65140,1.36601
10,1100,-18.16675,3.14820,1.34992,-18.01875,2.54253,1.35009,-18.12494,1.95958,1.35211,-17.66947,1.95013,1.35410
11,1200,-18.99484,2.93728,1.33446,-18.99908,2.26188,1.33836,-19.00083,3.32330,1.33414,-18.77565,2.16050,1.33107
12,1300,-19.94815,2.85048,1.31997,-19.88470,2.51237,1.30928,-19.84522,4.16564,1.30993,-19.54697,1.80632,1.31620
13,1400,-20.85048,3.01301,1.28761,-20.77044,3.08384,1.28999,-20.84848,2.55366,1.29219,-20.57607,2.62922,1.28796
14,1500,-21.65961,2.62528,1.27631,-21.65143,2.28894,1.27603,-21.76881,2.26270,1.26691,-21.26853,3.59029,1.27568
