iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,2_maddpg_actor_loss,2_maddpg_critic_loss,3_maddpg_actor_loss,3_maddpg_critic_loss,4_maddpg_actor_loss,4_maddpg_critic_loss
0,100,-0.05073,0.93336,-0.09168,0.90357,-0.07824,0.96298,0.05089,1.00883
1,200,-0.03646,0.61748,-0.02372,0.62152,-0.00467,0.61995,0.07228,0.79209
2,300,0.09866,0.68689,0.05665,0.69627,0.08109,0.71261,0.02628,0.84587
3,400,0.10813,0.61498,0.07768,0.80882,0.04975,0.74222,0.02214,0.77206
4,500,0.04601,0.94734,0.07466,0.63851,-0.00935,0.84613,0.01311,0.78882
5,600,-0.01222,0.87477,0.03920,1.06722,-0.03372,1.07811,0.01499,0.78676
6,700,0.01468,1.14016,0.00823,0.84059,0.00777,1.00267,0.00248,0.81682
7,800,-0.07500,1.25214,-0.01549,0.88287,-0.12374,1.07308,-0.00454,0.83424
8,900,-0.15048,1.03169,-0.01310,0.74437,-0.29145,1.13556,-0.06367,0.76664
9,1000,-0.27239,1.02587,-0.03723,1.01154,-0.38907,1.03643,-0.06477,0.82065
10,1100,-0.23900,1.03656,-0.05445,1.20172,-0.35447,1.20141,-0.10992,0.77228
11,1200,-0.18390,0.75494,-0.04419,0.80069,-0.31669,1.01569,-0.14275,0.83470
12,1300,-0.19443,0.82143,-0.06720,0.93179,-0.32708,0.94567,-0.15474,0.85296
13,1400,-0.20403,1.07498,-0.06799,1.11543,-0.34077,1.00723,-0.15009,0.84404
14,1500,-0.21054,0.87106,-0.07925,0.79773,-0.34258,1.19328,-0.21267,0.80936
15,1600,-0.20572,1.10346,-0.09361,1.09379,-0.33642,1.10045,-0.24658,0.73830
16,1700,-0.22842,0.99449,-0.09886,0.98597,-0.32327,0.76117,-0.26725,0.74409
17,1800,-0.24917,0.99298,-0.09463,0.83308,-0.37046,1.13960,-0.27978,0.76303
18,1900,-0.28099,1.23005,-0.11514,0.94153,-0.37116,0.78027,-0.26767,0.85361
19,2000,-0.29301,1.18495,-0.13267,1.09981,-0.42491,1.04325,-0.29050,0.82460
20,2100,-0.29832,1.26833,-0.13349,1.19795,-0.40405,0.94657,-0.27793,0.82454
21,2200,-0.30889,0.78327,-0.15598,1.19276,-0.41406,1.05045,-0.31233,0.81470
22,2300,-0.29471,0.78525,-0.15273,0.57355,-0.40369,0.82803,-0.33996,0.82298
23,2400,-0.34169,0.99871,-0.16565,1.13888,-0.44016,1.32365,-0.34809,0.82284
24,2500,-0.36381,1.18036,-0.17557,0.87436,-0.43511,0.95186,-0.36833,0.78154
25,2600,-0.38249,1.17942,-0.18524,0.88176,-0.45301,1.23378,-0.38786,0.76978
26,2700,-0.39347,0.84757,-0.19190,0.83131,-0.47145,0.82856,-0.38864,0.80320
27,2800,-0.42232,0.77815,-0.20629,0.94578,-0.47750,0.79376,-0.38482,0.87407
28,2900,-0.42475,0.65131,-0.20356,1.15973,-0.51661,0.90592,-0.36407,0.83634
29,3000,-0.44979,1.10029,-0.23114,0.98963,-0.49750,0.83162,-0.37416,0.80805
30,3100,-0.46461,1.17431,-0.20469,0.94397,-0.55334,1.14983,-0.41685,0.80292
31,3200,-0.50720,1.05595,-0.21770,0.89769,-0.56600,0.67819,-0.41892,0.80819
32,3300,-0.52013,0.77359,-0.24299,0.95802,-0.59924,1.57530,-0.43078,0.80353
33,3400,-0.52579,1.29258,-0.24218,1.06506,-0.63206,1.27159,-0.40023,0.81268
34,3500,-0.53589,1.03384,-0.24028,1.30866,-0.62487,1.04527,-0.41540,0.85858
35,3600,-0.54971,0.91925,-0.26597,0.90307,-0.63765,1.21822,-0.39792,0.86177
36,3700,-0.56192,1.13138,-0.27902,0.98724,-0.61394,0.78970,-0.39042,0.83808
