number,rewards,variances,exploration_value
0,[0.00000 0.00000 0.00000 -1.57969],[0.00000 0.00000 0.00000 1.86242],0.3
100,[0.00000 0.00000 0.00000 -2.64156],[0.00000 0.00000 0.00000 6.28480],0.2988
200,[0.16000 0.16000 0.16000 -3.69947],[0.10240 0.10240 0.10240 4.90558],0.2976
300,[0.24000 0.24000 0.24000 -2.81434],[0.10240 0.10240 0.10240 4.80056],0.2964
400,[0.32000 0.32000 0.32000 -3.17642],[0.08960 0.08960 0.08960 7.03916],0.29519999999999996
500,[0.08000 0.08000 0.08000 -0.80515],[0.02560 0.02560 0.02560 0.48466],0.294
600,[0.24000 0.24000 0.24000 -0.89710],[0.10240 0.10240 0.10240 0.65500],0.2928
700,[0.16000 0.16000 0.16000 -1.38911],[0.10240 0.10240 0.10240 4.14196],0.29159999999999997
800,[0.08000 0.08000 0.08000 -0.21212],[0.02560 0.02560 0.02560 0.07429],0.2904
900,[0.08000 0.08000 0.08000 -0.21126],[0.02560 0.02560 0.02560 0.11718],0.28919999999999996
1000,[0.24000 0.24000 0.24000 -0.68207],[0.10240 0.10240 0.10240 0.61693],0.288
1100,[0.00000 0.00000 0.00000 0.00000],[0.00000 0.00000 0.00000 0.00000],0.2868
1200,[0.48000 0.48000 0.48000 -0.90791],[0.40960 0.40960 0.40960 0.70572],0.28559999999999997
1300,[0.32000 0.32000 0.32000 -0.32000],[0.08960 0.08960 0.08960 0.08960],0.2844
1400,[0.16000 0.16000 0.16000 -0.21308],[0.10240 0.10240 0.10240 0.08908],0.28319999999999995
1500,[0.08000 0.08000 0.08000 -0.14106],[0.02560 0.02560 0.02560 0.02342],0.282
1600,[0.32000 0.32000 0.32000 -0.33138],[0.08960 0.08960 0.08960 0.09006],0.2808
1700,[0.00000 0.00000 0.00000 -0.22963],[0.00000 0.00000 0.00000 0.19892],0.2796
1800,[0.00000 0.00000 0.00000 -0.07451],[0.00000 0.00000 0.00000 0.02104],0.2784
1900,[0.32000 0.32000 0.32000 -0.49531],[0.40960 0.40960 0.40960 0.90962],0.2772
2000,[0.16000 0.16000 0.16000 -0.23916],[0.10240 0.10240 0.10240 0.22880],0.276
