number,rewards,variances,exploration_value
0,[0.00000 0.00000 0.00000 -1.57969],[0.00000 0.00000 0.00000 1.86242],0.3
100,[0.00000 0.00000 0.00000 -0.61899],[0.00000 0.00000 0.00000 1.28774],0.2988
200,[0.48000 0.48000 0.48000 -3.67892],[0.40960 0.40960 0.40960 3.93835],0.2976
300,[0.00000 0.00000 0.00000 -3.01401],[0.00000 0.00000 0.00000 3.00368],0.2964
400,[0.48000 0.48000 0.48000 -0.49166],[0.34560 0.34560 0.34560 0.35940],0.29519999999999996
500,[0.00000 0.00000 0.00000 -0.18931],[0.00000 0.00000 0.00000 0.09681],0.294
600,[0.00000 0.00000 0.00000 -0.71221],[0.00000 0.00000 0.00000 1.04005],0.2928
700,[0.48000 0.48000 0.48000 -0.87188],[0.21760 0.21760 0.21760 0.41972],0.29159999999999997
800,[0.16000 0.16000 0.16000 -0.16000],[0.10240 0.10240 0.10240 0.10240],0.2904
900,[0.16000 0.16000 0.16000 -1.04123],[0.10240 0.10240 0.10240 3.09959],0.28919999999999996
1000,[0.32000 0.32000 0.32000 -1.31107],[0.21760 0.21760 0.21760 2.12345],0.288
1100,[0.80000 0.80000 0.80000 -1.87255],[1.53600 1.53600 1.53600 4.42140],0.2868
1200,[0.48000 0.48000 0.48000 -1.30266],[0.40960 0.40960 0.40960 1.65690],0.28559999999999997
1300,[0.16000 0.16000 0.16000 -0.16000],[0.03840 0.03840 0.03840 0.03840],0.2844
1400,[0.00000 0.00000 0.00000 -0.03388],[0.00000 0.00000 0.00000 0.00209],0.28319999999999995
1500,[0.16000 0.16000 0.16000 -0.62748],[0.03840 0.03840 0.03840 0.12223],0.282
1600,[0.32000 0.32000 0.32000 -0.39699],[0.15360 0.15360 0.15360 0.24335],0.2808
1700,[0.16000 0.16000 0.16000 -0.74867],[0.10240 0.10240 0.10240 0.49129],0.2796
1800,[0.32000 0.32000 0.32000 -0.39020],[0.08960 0.08960 0.08960 0.11484],0.2784
1900,[0.16000 0.16000 0.16000 -0.90484],[0.10240 0.10240 0.10240 1.76813],0.2772
2000,[0.24000 0.24000 0.24000 -0.46018],[0.10240 0.10240 0.10240 0.16610],0.276
2100,[0.32000 0.32000 0.32000 -1.02701],[0.15360 0.15360 0.15360 1.48052],0.2748
