number,rewards,variances,exploration_value
0,[0.00000 0.00000 0.00000 -1.57969],[0.00000 0.00000 0.00000 1.86242],0.3
100,[0.00000 0.00000 0.00000 -4.46417],[0.00000 0.00000 0.00000 5.71705],0.2988
200,[0.00000 0.00000 0.00000 -0.50651],[0.00000 0.00000 0.00000 0.26975],0.2976
300,[0.00000 0.00000 0.00000 -0.37042],[0.00000 0.00000 0.00000 0.23446],0.2964
400,[0.16000 0.16000 0.16000 -1.71505],[0.10240 0.10240 0.10240 6.54044],0.29519999999999996
500,[0.16000 0.16000 0.16000 -0.21024],[0.10240 0.10240 0.10240 0.09026],0.294
600,[0.00000 0.00000 0.00000 -3.62611],[0.00000 0.00000 0.00000 7.80992],0.2928
700,[0.00000 0.00000 0.00000 -0.18919],[0.00000 0.00000 0.00000 0.12112],0.29159999999999997
800,[0.24000 0.24000 0.24000 -5.12648],[0.23040 0.23040 0.23040 4.16144],0.2904
900,[0.32000 0.32000 0.32000 -1.76022],[0.40960 0.40960 0.40960 1.00071],0.28919999999999996
1000,[0.16000 0.16000 0.16000 -0.79240],[0.10240 0.10240 0.10240 1.49976],0.288
1100,[0.16000 0.16000 0.16000 -2.42307],[0.10240 0.10240 0.10240 1.77180],0.2868
1200,[0.00000 0.00000 0.00000 0.00000],[0.00000 0.00000 0.00000 0.00000],0.28559999999999997
1300,[0.00000 0.00000 0.00000 0.00000],[0.00000 0.00000 0.00000 0.00000],0.2844
1400,[0.00000 0.00000 0.00000 -0.03075],[0.00000 0.00000 0.00000 0.00378],0.28319999999999995
1500,[0.00000 0.00000 0.00000 0.00000],[0.00000 0.00000 0.00000 0.00000],0.282
1600,[0.00000 0.00000 0.00000 -0.13275],[0.00000 0.00000 0.00000 0.07049],0.2808
1700,[0.00000 0.00000 0.00000 -0.03675],[0.00000 0.00000 0.00000 0.00540],0.2796
1800,[0.08000 0.08000 0.08000 -0.20009],[0.02560 0.02560 0.02560 0.06407],0.2784
1900,[0.00000 0.00000 0.00000 -3.56243],[0.00000 0.00000 0.00000 7.16236],0.2772
2000,[0.08000 0.08000 0.08000 -4.14651],[0.02560 0.02560 0.02560 5.21160],0.276
2100,[0.08000 0.08000 0.08000 -5.62426],[0.02560 0.02560 0.02560 1.85412],0.2748
2200,[0.00000 0.00000 0.00000 -2.14556],[0.00000 0.00000 0.00000 3.70090],0.2736
2300,[0.00000 0.00000 0.00000 -5.66439],[0.00000 0.00000 0.00000 3.49759],0.2724
2400,[0.00000 0.00000 0.00000 -4.43852],[0.00000 0.00000 0.00000 2.05675],0.2712
2500,[0.00000 0.00000 0.00000 -0.01999],[0.00000 0.00000 0.00000 0.00160],0.27
2600,[0.48000 0.48000 0.48000 -5.72688],[0.15360 0.15360 0.15360 1.59641],0.2688
2700,[0.16000 0.16000 0.16000 -2.97424],[0.10240 0.10240 0.10240 0.78356],0.2676
2800,[0.16000 0.16000 0.16000 -0.16000],[0.10240 0.10240 0.10240 0.10240],0.26639999999999997
2900,[0.00000 0.00000 0.00000 -3.54864],[0.00000 0.00000 0.00000 2.42947],0.2652
3000,[0.08000 0.08000 0.08000 -4.41404],[0.02560 0.02560 0.02560 2.57081],0.264
3100,[0.16000 0.16000 0.16000 -3.93229],[0.03840 0.03840 0.03840 3.12826],0.2628
3200,[0.40000 0.40000 0.40000 -3.91342],[0.64000 0.64000 0.64000 4.58787],0.2616
3300,[0.00000 0.00000 0.00000 -4.06786],[0.00000 0.00000 0.00000 1.91598],0.26039999999999996
3400,[0.08000 0.08000 0.08000 -5.05193],[0.02560 0.02560 0.02560 3.69267],0.2592
3500,[0.00000 0.00000 0.00000 -3.85356],[0.00000 0.00000 0.00000 3.54124],0.258
3600,[0.08000 0.08000 0.08000 -5.23751],[0.02560 0.02560 0.02560 6.95526],0.2568
