number,rewards,variances,exploration_value
0,[0.00000 0.00000 0.00000 -0.97722],[0.00000 0.00000 0.00000 1.31437],0.3
100,[0.32000 0.32000 0.32000 -1.80641],[0.40960 0.40960 0.40960 2.76894],0.2988
200,[0.24000 0.24000 0.24000 -0.26324],[0.10240 0.10240 0.10240 0.09420],0.2976
300,[0.08000 0.08000 0.08000 -0.43124],[0.02560 0.02560 0.02560 0.20585],0.2964
400,[0.08000 0.08000 0.08000 -0.25392],[0.02560 0.02560 0.02560 0.06396],0.29519999999999996
500,[0.48000 0.48000 0.48000 -0.92431],[0.40960 0.40960 0.40960 0.92590],0.294
600,[0.16000 0.16000 0.16000 -0.47107],[0.03840 0.03840 0.03840 0.08663],0.2928
700,[0.00000 0.00000 0.00000 -1.95295],[0.00000 0.00000 0.00000 9.14459],0.29159999999999997
800,[0.00000 0.00000 0.00000 -0.52970],[0.00000 0.00000 0.00000 0.28168],0.2904
900,[0.24000 0.24000 0.24000 -0.45345],[0.10240 0.10240 0.10240 0.05936],0.28919999999999996
1000,[0.56000 0.56000 0.56000 -0.81017],[0.10240 0.10240 0.10240 0.07255],0.288
1100,[0.08000 0.08000 0.08000 -0.27770],[0.02560 0.02560 0.02560 0.04582],0.2868
1200,[0.24000 0.24000 0.24000 -3.19194],[0.23040 0.23040 0.23040 4.07920],0.28559999999999997
1300,[0.00000 0.00000 0.00000 -1.17245],[0.00000 0.00000 0.00000 1.87579],0.2844
1400,[0.08000 0.08000 0.08000 -0.62830],[0.02560 0.02560 0.02560 0.36845],0.28319999999999995
1500,[0.00000 0.00000 0.00000 -1.17662],[0.00000 0.00000 0.00000 1.75864],0.282
1600,[0.16000 0.16000 0.16000 -0.88871],[0.03840 0.03840 0.03840 0.48045],0.2808
1700,[0.00000 0.00000 0.00000 -1.50941],[0.00000 0.00000 0.00000 2.15311],0.2796
1800,[0.00000 0.00000 0.00000 -2.41513],[0.00000 0.00000 0.00000 5.35865],0.2784
1900,[0.00000 0.00000 0.00000 -1.11148],[0.00000 0.00000 0.00000 0.58867],0.2772
2000,[0.64000 0.64000 0.64000 -1.64700],[0.87040 0.87040 0.87040 1.99814],0.276
2100,[0.08000 0.08000 0.08000 -1.10853],[0.02560 0.02560 0.02560 2.03592],0.2748
2200,[0.32000 0.32000 0.32000 -0.71189],[0.21760 0.21760 0.21760 0.19755],0.2736
2300,[0.16000 0.16000 0.16000 -0.79666],[0.03840 0.03840 0.03840 0.20387],0.2724
2400,[0.16000 0.16000 0.16000 -1.10091],[0.10240 0.10240 0.10240 1.05413],0.2712
2500,[0.00000 0.00000 0.00000 -2.20334],[0.00000 0.00000 0.00000 2.52325],0.27
2600,[0.00000 0.00000 0.00000 -0.60280],[0.00000 0.00000 0.00000 0.56460],0.2688
2700,[0.00000 0.00000 0.00000 -1.11505],[0.00000 0.00000 0.00000 0.82651],0.2676
2800,[0.16000 0.16000 0.16000 -1.19941],[0.03840 0.03840 0.03840 0.13480],0.26639999999999997
2900,[0.00000 0.00000 0.00000 -2.26510],[0.00000 0.00000 0.00000 2.24519],0.2652
3000,[0.24000 0.24000 0.24000 -1.25436],[0.23040 0.23040 0.23040 0.55382],0.264
3100,[0.16000 0.16000 0.16000 -3.74590],[0.10240 0.10240 0.10240 3.90315],0.2628
3200,[0.08000 0.08000 0.08000 -0.59609],[0.02560 0.02560 0.02560 0.49892],0.2616
3300,[0.08000 0.08000 0.08000 -0.94216],[0.02560 0.02560 0.02560 0.69923],0.26039999999999996
3400,[0.32000 0.32000 0.32000 -1.38029],[0.08960 0.08960 0.08960 0.81746],0.2592
3500,[0.16000 0.16000 0.16000 -2.15592],[0.10240 0.10240 0.10240 1.74133],0.258
3600,[0.56000 0.56000 0.56000 -1.36770],[0.35840 0.35840 0.35840 2.59988],0.2568
3700,[0.24000 0.24000 0.24000 -1.83357],[0.10240 0.10240 0.10240 3.46694],0.2556
3800,[0.08000 0.08000 0.08000 -0.34716],[0.02560 0.02560 0.02560 0.08261],0.25439999999999996
3900,[0.00000 0.00000 0.00000 -4.03394],[0.00000 0.00000 0.00000 4.49873],0.2532
4000,[0.08000 0.08000 0.08000 -1.69956],[0.02560 0.02560 0.02560 3.83042],0.252
4100,[0.08000 0.08000 0.08000 -1.44208],[0.02560 0.02560 0.02560 0.93497],0.25079999999999997
4200,[0.08000 0.08000 0.08000 -1.17711],[0.02560 0.02560 0.02560 1.32142],0.2496
4300,[0.08000 0.08000 0.08000 -1.18317],[0.02560 0.02560 0.02560 0.74579],0.24839999999999998
4400,[0.08000 0.08000 0.08000 -0.50970],[0.02560 0.02560 0.02560 0.60562],0.24719999999999998
4500,[0.08000 0.08000 0.08000 -1.78242],[0.02560 0.02560 0.02560 1.42005],0.24599999999999997
4600,[0.08000 0.08000 0.08000 -4.08482],[0.02560 0.02560 0.02560 9.23455],0.24479999999999996
4700,[0.08000 0.08000 0.08000 -1.73561],[0.02560 0.02560 0.02560 2.05892],0.2436
4800,[0.16000 0.16000 0.16000 -2.24039],[0.10240 0.10240 0.10240 6.11727],0.2424
4900,[0.08000 0.08000 0.08000 -3.27466],[0.02560 0.02560 0.02560 5.04341],0.2412
5000,[0.00000 0.00000 0.00000 -3.58489],[0.00000 0.00000 0.00000 5.11637],0.24
5100,[0.16000 0.16000 0.16000 -3.19850],[0.10240 0.10240 0.10240 5.72780],0.2388
5200,[0.00000 0.00000 0.00000 -1.25472],[0.00000 0.00000 0.00000 0.49786],0.2376
5300,[0.00000 0.00000 0.00000 -0.77611],[0.00000 0.00000 0.00000 0.19639],0.2364
5400,[0.08000 0.08000 0.08000 -1.10176],[0.02560 0.02560 0.02560 0.25647],0.2352
5500,[0.00000 0.00000 0.00000 -0.82736],[0.00000 0.00000 0.00000 0.52984],0.23399999999999999
5600,[0.24000 0.24000 0.24000 -1.50585],[0.10240 0.10240 0.10240 0.44250],0.2328
5700,[0.08000 0.08000 0.08000 -0.57436],[0.02560 0.02560 0.02560 0.16669],0.2316
5800,[0.00000 0.00000 0.00000 -1.12490],[0.00000 0.00000 0.00000 1.62635],0.2304
5900,[0.08000 0.08000 0.08000 -1.52875],[0.02560 0.02560 0.02560 0.55002],0.2292
6000,[0.16000 0.16000 0.16000 -1.68537],[0.10240 0.10240 0.10240 0.79853],0.22799999999999998
6100,[0.24000 0.24000 0.24000 -1.79860],[0.10240 0.10240 0.10240 1.15918],0.2268
6200,[0.00000 0.00000 0.00000 -0.55798],[0.00000 0.00000 0.00000 0.27724],0.2256
6300,[0.32000 0.32000 0.32000 -1.65002],[0.15360 0.15360 0.15360 2.69148],0.2244
6400,[0.08000 0.08000 0.08000 -1.42889],[0.02560 0.02560 0.02560 1.99728],0.22319999999999998
6500,[0.00000 0.00000 0.00000 -0.88918],[0.00000 0.00000 0.00000 0.55547],0.222
