number,rewards,variances,exploration_value
0,[0.00000 0.00000 0.00000 -0.97722],[0.00000 0.00000 0.00000 1.31437],0.3
100,[0.16000 0.16000 0.16000 -2.54981],[0.10240 0.10240 0.10240 4.72099],0.2988
200,[0.00000 0.00000 0.00000 -0.62475],[0.00000 0.00000 0.00000 0.76209],0.2976
300,[0.00000 0.00000 0.00000 -3.38640],[0.00000 0.00000 0.00000 1.35291],0.2964
400,[0.72000 0.72000 0.72000 -1.49840],[0.92160 0.92160 0.92160 1.96464],0.29519999999999996
500,[0.32000 0.32000 0.32000 -2.47165],[0.21760 0.21760 0.21760 2.61743],0.294
600,[0.16000 0.16000 0.16000 -0.66442],[0.10240 0.10240 0.10240 0.36531],0.2928
700,[0.08000 0.08000 0.08000 -1.88507],[0.02560 0.02560 0.02560 1.83733],0.29159999999999997
800,[0.24000 0.24000 0.24000 -1.21581],[0.10240 0.10240 0.10240 0.96457],0.2904
900,[0.24000 0.24000 0.24000 -1.14056],[0.10240 0.10240 0.10240 0.29675],0.28919999999999996
1000,[0.24000 0.24000 0.24000 -1.57959],[0.23040 0.23040 0.23040 4.32512],0.288
1100,[0.32000 0.32000 0.32000 -1.21602],[0.40960 0.40960 0.40960 2.29305],0.2868
1200,[0.00000 0.00000 0.00000 -0.08199],[0.00000 0.00000 0.00000 0.01302],0.28559999999999997
1300,[0.16000 0.16000 0.16000 -2.13774],[0.10240 0.10240 0.10240 4.33983],0.2844
1400,[0.24000 0.24000 0.24000 -1.49900],[0.23040 0.23040 0.23040 5.49750],0.28319999999999995
1500,[0.32000 0.32000 0.32000 -1.55806],[0.40960 0.40960 0.40960 1.56941],0.282
1600,[0.00000 0.00000 0.00000 -0.56274],[0.00000 0.00000 0.00000 0.27123],0.2808
1700,[0.00000 0.00000 0.00000 -1.68091],[0.00000 0.00000 0.00000 5.32202],0.2796
1800,[0.16000 0.16000 0.16000 -3.03692],[0.10240 0.10240 0.10240 3.75330],0.2784
1900,[0.40000 0.40000 0.40000 -3.89619],[0.19200 0.19200 0.19200 2.51134],0.2772
2000,[0.08000 0.08000 0.08000 -4.06035],[0.02560 0.02560 0.02560 5.01989],0.276
2100,[0.00000 0.00000 0.00000 -5.39098],[0.00000 0.00000 0.00000 4.47834],0.2748
2200,[0.16000 0.16000 0.16000 -3.38974],[0.10240 0.10240 0.10240 2.44313],0.2736
2300,[0.32000 0.32000 0.32000 -3.94522],[0.15360 0.15360 0.15360 3.34913],0.2724
2400,[0.16000 0.16000 0.16000 -4.49225],[0.03840 0.03840 0.03840 2.82013],0.2712
2500,[0.08000 0.08000 0.08000 -0.12076],[0.02560 0.02560 0.02560 0.02572],0.27
2600,[0.16000 0.16000 0.16000 -3.14027],[0.10240 0.10240 0.10240 1.99573],0.2688
2700,[0.16000 0.16000 0.16000 -5.48938],[0.10240 0.10240 0.10240 0.05933],0.2676
2800,[0.08000 0.08000 0.08000 -1.62524],[0.02560 0.02560 0.02560 2.71310],0.26639999999999997
2900,[0.08000 0.08000 0.08000 -3.83278],[0.02560 0.02560 0.02560 1.24148],0.2652
3000,[0.32000 0.32000 0.32000 -1.69276],[0.15360 0.15360 0.15360 0.31134],0.264
3100,[0.08000 0.08000 0.08000 -1.78554],[0.02560 0.02560 0.02560 2.09034],0.2628
3200,[0.00000 0.00000 0.00000 -1.03261],[0.00000 0.00000 0.00000 2.00183],0.2616
3300,[0.32000 0.32000 0.32000 -2.23344],[0.15360 0.15360 0.15360 4.88868],0.26039999999999996
3400,[0.16000 0.16000 0.16000 -3.00202],[0.03840 0.03840 0.03840 5.50982],0.2592
3500,[0.08000 0.08000 0.08000 -2.50872],[0.02560 0.02560 0.02560 0.51063],0.258
3600,[0.40000 0.40000 0.40000 -6.25217],[0.25600 0.25600 0.25600 2.02839],0.2568
3700,[0.16000 0.16000 0.16000 -3.64426],[0.10240 0.10240 0.10240 4.68603],0.2556
3800,[0.08000 0.08000 0.08000 -2.99065],[0.02560 0.02560 0.02560 6.14113],0.25439999999999996
3900,[0.00000 0.00000 0.00000 -5.02617],[0.00000 0.00000 0.00000 3.08547],0.2532
4000,[0.24000 0.24000 0.24000 -1.63408],[0.10240 0.10240 0.10240 0.76588],0.252
4100,[0.00000 0.00000 0.00000 -1.39450],[0.00000 0.00000 0.00000 2.83151],0.25079999999999997
4200,[0.16000 0.16000 0.16000 -0.17339],[0.03840 0.03840 0.03840 0.04554],0.2496
4300,[0.72000 0.72000 0.72000 -1.15629],[2.07360 2.07360 2.07360 1.90130],0.24839999999999998
4400,[0.00000 0.00000 0.00000 -0.42249],[0.00000 0.00000 0.00000 0.15605],0.24719999999999998
4500,[0.08000 0.08000 0.08000 -3.98564],[0.02560 0.02560 0.02560 7.99787],0.24599999999999997
4600,[0.48000 0.48000 0.48000 -1.76591],[0.92160 0.92160 0.92160 1.42659],0.24479999999999996
4700,[0.16000 0.16000 0.16000 -4.15679],[0.10240 0.10240 0.10240 4.05259],0.2436
4800,[0.08000 0.08000 0.08000 -1.39417],[0.02560 0.02560 0.02560 0.71803],0.2424
