iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,1_icm_forward_loss,1_icm_inverse_loss,2_maddpg_actor_loss,2_maddpg_critic_loss,2_icm_forward_loss,2_icm_inverse_loss,3_maddpg_actor_loss,3_maddpg_critic_loss,3_icm_forward_loss,3_icm_inverse_loss,4_maddpg_actor_loss,4_maddpg_critic_loss,4_icm_forward_loss,4_icm_inverse_loss
0,100,-3.74946,2.76527,0.69217,1.62003,-3.77983,2.77760,0.69699,1.61498,-3.85084,2.42001,0.70152,1.61624,-3.35070,2.52597,0.61724,1.61785
1,200,-4.70149,0.96470,0.73845,1.62428,-4.70052,1.08218,0.73549,1.60712,-4.74561,0.99574,0.75073,1.61616,-3.92169,1.06496,0.63068,1.62327
2,300,-5.16197,1.05707,0.72413,1.61145,-5.09981,0.96520,0.72185,1.59660,-5.25243,0.93775,0.74363,1.61638,-4.26499,1.11401,0.61406,1.62517
3,400,-5.62793,1.08857,0.70618,1.60673,-5.64875,1.05919,0.71142,1.59424,-5.75012,0.88901,0.72794,1.61410,-4.70791,1.15610,0.60340,1.62772
4,500,-6.17092,0.99382,0.70333,1.60609,-6.15729,1.24677,0.70162,1.59327,-6.31601,1.08408,0.71796,1.61205,-5.08928,1.06498,0.59017,1.62887
5,600,-6.74668,1.28381,0.70345,1.60626,-6.74270,0.99522,0.69457,1.59368,-6.85897,1.15761,0.72114,1.61379,-5.46965,1.13789,0.57969,1.63107
6,700,-7.38698,1.08308,0.69728,1.60593,-7.30462,1.18027,0.68857,1.59452,-7.39502,1.05339,0.70836,1.61200,-5.89457,1.02970,0.56982,1.63073
7,800,-7.79062,1.02953,0.69050,1.60410,-7.80952,1.28046,0.68118,1.59436,-7.93027,1.18927,0.69646,1.61396,-6.23036,1.18915,0.56315,1.63102
8,900,-8.36986,1.38374,0.68814,1.60409,-8.30457,1.26326,0.67518,1.59529,-8.46073,1.34924,0.69072,1.61339,-6.58908,1.23797,0.55340,1.63019
9,1000,-8.99511,1.42648,0.68357,1.60177,-8.80349,1.47962,0.66714,1.59388,-8.99087,1.28133,0.68564,1.61095,-7.20951,1.17536,0.54602,1.63058
10,1100,-9.39056,1.36571,0.67717,1.59929,-9.30214,1.46951,0.66294,1.59439,-9.52222,1.39085,0.67771,1.60882,-7.39085,1.12342,0.54038,1.63051
11,1200,-10.00548,1.22479,0.67456,1.59685,-9.74163,1.77781,0.65691,1.59232,-10.00741,1.36889,0.66988,1.60775,-7.81560,1.30583,0.53100,1.63104
12,1300,-10.44188,1.38525,0.66506,1.59552,-10.30116,1.55023,0.65016,1.59206,-10.49806,1.66559,0.66046,1.60701,-8.14666,1.35892,0.52370,1.63017
13,1400,-11.00183,1.99731,0.66208,1.59413,-10.67614,1.66700,0.64890,1.58997,-10.90290,1.66387,0.65168,1.60598,-8.43464,1.30880,0.51815,1.63044
14,1500,-11.36094,1.93962,0.65940,1.59232,-11.17111,1.94767,0.64817,1.59057,-11.39580,1.77589,0.64691,1.60412,-8.77047,1.38024,0.51663,1.62957
15,1600,-11.97604,2.05469,0.65491,1.59077,-11.58139,1.43775,0.64680,1.58950,-11.77730,1.89114,0.64802,1.60320,-9.11678,1.45407,0.51361,1.63013
16,1700,-12.26147,1.79949,0.65278,1.59018,-12.07326,1.56647,0.64399,1.58850,-12.30422,1.49617,0.64544,1.60053,-9.42453,1.38479,0.51338,1.62946
17,1800,-12.84703,1.97687,0.65098,1.58977,-12.66670,1.72118,0.64038,1.58670,-12.71315,1.57163,0.64039,1.59971,-9.76021,1.56949,0.51036,1.62875
18,1900,-13.14265,1.61782,0.64706,1.58891,-12.85191,2.13432,0.64003,1.58532,-13.19179,1.84813,0.63868,1.59858,-10.16065,1.71058,0.50885,1.62865
