number,rewards,variances,exploration_value
0,[0.00000 0.00000 0.00000 -0.97722],[0.00000 0.00000 0.00000 1.31437],0.3
100,[0.00000 0.00000 0.00000 -1.74506],[0.00000 0.00000 0.00000 4.05651],0.2988
200,[0.24000 0.24000 0.24000 -1.41182],[0.10240 0.10240 0.10240 4.39094],0.2976
300,[0.00000 0.00000 0.00000 -0.38622],[0.00000 0.00000 0.00000 0.23160],0.2964
400,[0.00000 0.00000 0.00000 -0.80917],[0.00000 0.00000 0.00000 0.54896],0.29519999999999996
500,[0.16000 0.16000 0.16000 -3.95256],[0.10240 0.10240 0.10240 1.44290],0.294
600,[0.00000 0.00000 0.00000 -0.37515],[0.00000 0.00000 0.00000 0.09863],0.2928
700,[0.32000 0.32000 0.32000 -1.25986],[0.15360 0.15360 0.15360 0.12184],0.29159999999999997
800,[0.48000 0.48000 0.48000 -1.27093],[0.92160 0.92160 0.92160 2.55893],0.2904
900,[0.32000 0.32000 0.32000 -0.41704],[0.08960 0.08960 0.08960 0.13923],0.28919999999999996
1000,[0.40000 0.40000 0.40000 -1.36717],[0.25600 0.25600 0.25600 3.14073],0.288
1100,[0.16000 0.16000 0.16000 -0.48230],[0.10240 0.10240 0.10240 0.17226],0.2868
1200,[0.00000 0.00000 0.00000 -1.96408],[0.00000 0.00000 0.00000 3.16251],0.28559999999999997
1300,[0.16000 0.16000 0.16000 -2.19820],[0.10240 0.10240 0.10240 2.38182],0.2844
1400,[0.08000 0.08000 0.08000 -1.01641],[0.02560 0.02560 0.02560 0.75676],0.28319999999999995
1500,[0.16000 0.16000 0.16000 -1.35764],[0.10240 0.10240 0.10240 1.23744],0.282
1600,[0.40000 0.40000 0.40000 -1.17209],[0.12800 0.12800 0.12800 0.26808],0.2808
1700,[0.40000 0.40000 0.40000 -1.85782],[0.25600 0.25600 0.25600 1.52187],0.2796
1800,[0.08000 0.08000 0.08000 -1.77084],[0.02560 0.02560 0.02560 2.87125],0.2784
1900,[0.00000 0.00000 0.00000 -2.88667],[0.00000 0.00000 0.00000 4.26531],0.2772
2000,[0.00000 0.00000 0.00000 -1.42025],[0.00000 0.00000 0.00000 4.43358],0.276
2100,[0.00000 0.00000 0.00000 -3.48436],[0.00000 0.00000 0.00000 5.12974],0.2748
2200,[0.08000 0.08000 0.08000 -4.77896],[0.02560 0.02560 0.02560 2.00268],0.2736
2300,[0.56000 0.56000 0.56000 -1.97789],[0.29440 0.29440 0.29440 1.10210],0.2724
2400,[0.16000 0.16000 0.16000 -1.72916],[0.10240 0.10240 0.10240 3.88905],0.2712
2500,[0.00000 0.00000 0.00000 -3.22940],[0.00000 0.00000 0.00000 7.86889],0.27
2600,[0.08000 0.08000 0.08000 -2.69843],[0.02560 0.02560 0.02560 1.30243],0.2688
2700,[0.08000 0.08000 0.08000 -3.48386],[0.02560 0.02560 0.02560 2.34676],0.2676
2800,[0.56000 0.56000 0.56000 -1.93241],[0.48640 0.48640 0.48640 3.24063],0.26639999999999997
2900,[0.00000 0.00000 0.00000 -2.47453],[0.00000 0.00000 0.00000 5.80337],0.2652
3000,[0.00000 0.00000 0.00000 -4.04164],[0.00000 0.00000 0.00000 2.64998],0.264
3100,[0.16000 0.16000 0.16000 -3.96225],[0.10240 0.10240 0.10240 6.94484],0.2628
